D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
R D' B2 U2 R2 L2 F'
R D' B2 U2 R2 F' L2
B' U' D2 B2 U2 B U
U2 D' B' U2 L2 B R2
U2 D' B' U2 B L2 R2
U2 D' B' U2 B R2 L2
U' D' B2 U' L2 R2 F'
D' U' B2 U' L2 R2 F'
U' D' B2 U' R2 L2 F'
U' D' B2 U' R2 F' L2
D' U' B2 U' R2 L2 F'
D' U' B2 U' R2 F' L2
D2 U' B2 U' D R2 F'
D2 U' B2 D U' R2 F'
B' U' F U2 F B' U
B' U' F U2 B' F U
U2 D' B2 L2 R2 F' B2
U2 D' B2 L2 R2 B2 F'
D' U2 L R2 D L F
D' U2 L R2 D' L F
D' U2 L R2 D2 L F
D' U2 L R2 F L F
D' U2 L R2 F' L F
D' U2 L R2 F2 L F
D2 U' B2 F2 U B U2
U2 D' B2 R2 L2 F' B2
U2 D' B2 R2 L2 B2 F'
U2 D' B2 R2 F' L2 B2
U2 D' B2 R2 F' B2 L2
U2 D' B2 R2 B2 L2 F'
U2 D' B2 R2 B2 F' L2
D' U2 L F L R2 F
D' U2 L F L F R2
D' U2 L F R2 L F
D' U2 L F' L R2 F
D' U2 L F' L F R2
D' U2 L F' R2 L F
D' U2 L F2 L R2 F
D' U2 L F2 L F R2
D' U2 L F2 R2 L F
B' U' F' U2 F' B' U
B' U' F' U2 B' F' U
U D' B2 U L2 R2 F'
U D' B2 U R2 L2 F'
U D' B2 U R2 F' L2
D' U2 L2 R D R F
D' U2 L2 R D' R F
D' U2 L2 R D2 R F
D' U2 L2 R' D R' F
D' U2 L2 R' D F R'
D' U2 L2 R' D' R' F
D' U2 L2 R' D' F R'
D' U2 L2 R' D2 R' F
D' U2 L2 R' D2 F R'
D' U2 L2 R' F R' D
D' U2 L2 R' F R' D'
D' U2 L2 R' F R' D2
D' U2 L2 R' F D R'
D' U2 L2 R' F D' R'
D' U2 L2 R' F D2 R'
D' U2 L2 R' F' R' F2
D' U2 L2 R2 D F D
D' U2 L2 R2 D F D'
D' U2 L2 R2 D F D2
D' U2 L2 R2 D' F D
D' U2 L2 R2 D' F D'
D' U2 L2 R2 D' F D2
D' U2 L2 R2 D2 F D
D' U2 L2 R2 D2 F D'
D' U2 L2 R2 D2 F D2
D' U2 L2 R2 F2 D F'
D' U2 L2 R2 F2 D' F'
D' U2 L2 R2 F2 D2 F'
F2 U' F2 D L2 U2 F
F2 U' F2 D B' L2 U2
F2 U' F2 D' B' U2 R2
D' U2 L2 D F D' R2
D' U2 L2 D2 F D2 R2
F2 U' F2 B' U B' U
D' U2 L2 F R D R
D' U2 L2 F R D' R
D' U2 L2 F R D2 R
D' U2 L2 F R' D R'
D' U2 L2 F R' D' R'
D' U2 L2 F R' D2 R'
D2 U2 L2 D R2 F L2
D2 U2 L2 D F L2 R2
D2 U2 L2 D F R2 L2
D' U2 L2 F B R2 B'
D' U2 L2 F B2 R2 B2
D' U2 L2 F' R' F2 R'
D' U2 L2 F' R2 F2 D
D' U2 L2 F' R2 F2 D'
D' U2 L2 F' R2 F2 D2
B' U' B U' D' L2 R2
B' U' B U' D' R2 L2
U' D2 L2 F2 B2 U' F'
D' U2 L2 B R2 F B'
D' U2 L2 B R2 B' F
D' U2 L2 B F R2 B'
B' U' B U2 F2 B2 U
B' U' B U2 B2 F2 U
D' U2 L2 B2 R2 F B2
D' U2 L2 B2 R2 B2 F
B' U' B D' U' L2 R2
U' D2 L2 B2 F2 U' F'
B' U' B D' U' R2 L2
D' U2 L2 B2 F R2 B2
B' U' B D2 F2 B2 U'
B' U' B D2 B2 F2 U'
D' U2 R L2 D R F
D' U2 R L2 D' R F
D' U2 R L2 D2 R F
U2 D2 L2 D R2 F L2
U2 D2 L2 D F L2 R2
U2 D2 L2 D F R2 L2
D2 U2 R D L2 R2 F
D2 U2 R D L2 F R2
D2 U2 R D R2 L2 F
D' U2 R F' L2 F R
D' U2 R' L2 D R' F
D' U2 R' L2 D F R'
D' U2 R' L2 D' R' F
D' U2 R' L2 D' F R'
D' U2 R' L2 D2 R' F
D' U2 R' L2 D2 F R'
D' U2 R' L2 F R' D
D' U2 R' L2 F R' D'
D' U2 R' L2 F R' D2
D' U2 R' L2 F D R'
D' U2 R' L2 F D' R'
D' U2 R' L2 F D2 R'
D' U2 R' L2 F' R' F2
U2 D2 R D L2 R2 F
U2 D2 R D L2 F R2
U2 D2 R D R2 L2 F
D2 U2 R' D L2 R2 F
D2 U2 R' D L2 F R2
D' U2 R' F L2 R' F
D' U2 R' F L2 F R'
D2 U2 R' D R2 L2 F
D' U2 R' F R' L2 F
F2 U' B' F2 U B' U
D' U2 R' F' L2 R' F
D' U2 R' F' L2 F R'
D' U2 R' F' R' L2 F
D' U2 R' F2 L2 R' F
D' U2 R' F2 L2 F R'
D' U2 R' F2 R' L2 F
B' U' B2 U2 F2 B U
B' U' B2 U2 B F2 U
D' U2 R2 L D L F
D' U2 R2 L D' L F
D' U2 R2 L D2 L F
D' U2 R2 L F L F
D' U2 R2 L F' L F
D' U2 R2 L F2 L F
D' U2 R2 L2 D F D
D' U2 R2 L2 D F D'
D' U2 R2 L2 D F D2
D' U2 R2 L2 D' F D
D' U2 R2 L2 D' F D'
D' U2 R2 L2 D' F D2
D' U2 R2 L2 D2 F D
D' U2 R2 L2 D2 F D'
D' U2 R2 L2 D2 F D2
D' U2 R2 L2 F2 D F'
D' U2 R2 L2 F2 D' F'
D' U2 R2 L2 F2 D2 F'
U2 D2 R' D L2 R2 F
U2 D2 R' D L2 F R2
U2 D2 R' D R2 L2 F
D' U2 R2 U2 B' U2 L2
D2 U2 R2 D L2 R2 F
D2 U2 R2 D L2 F R2
D2 U2 R2 D R2 L2 F
D' U2 R2 F L2 D F
D' U2 R2 F L2 D' F
D' U2 R2 F L2 D2 F
D' U2 R2 F L2 F D
D' U2 R2 F L2 F D'
D' U2 R2 F L2 F D2
D' U2 R2 F' L2 D F
D' U2 R2 F' L2 D' F
D' U2 R2 F' L2 D2 F
D' U2 R2 F' L2 F D
D' U2 R2 F' L2 F D'
D' U2 R2 F' L2 F D2
D' U2 R2 F2 L2 D F
D' U2 R2 F2 L2 D' F
D' U2 R2 F2 L2 D2 F
D' U2 R2 F2 L2 F D
D' U2 R2 F2 L2 F D'
D' U2 R2 F2 L2 F D2
L2 D2 U' F2 B2 U' F'
L2 D2 U' B2 F2 U' F'
D' U2 F L2 R' F R'
D' U2 F L2 R2 D F
D' U2 F L2 R2 D' F
D' U2 F L2 R2 D2 F
D' U2 F L2 R2 F D
D' U2 F L2 R2 F D'
D' U2 F L2 R2 F D2
D' U2 F L2 F R2 D
D' U2 F L2 F R2 D'
D' U2 F L2 F R2 D2
D' U2 F L2 F' R2 F2
U2 D2 R2 D L2 R2 F
U2 D2 R2 D L2 F R2
U2 D2 R2 D R2 L2 F
D' U2 F R' L2 F R'
D' U2 F R2 L2 D F
D' U2 F R2 L2 D' F
D' U2 F R2 L2 D2 F
D' U2 F R2 L2 F D
D' U2 F R2 L2 F D'
D' U2 F R2 L2 F D2
D' U2 F R2 F L2 F
D' U2 F R2 F' L2 F
D' U2 F R2 F2 L2 F
D' U2 F' L2 R' F R'
D' U2 F' L2 R2 D F
D' U2 F' L2 R2 D' F
D' U2 F' L2 R2 D2 F
D' U2 F' L2 R2 F D
D' U2 F' L2 R2 F D'
D' U2 F' L2 R2 F D2
D' U2 F' L2 F R2 D
D' U2 F' L2 F R2 D'
D' U2 F' L2 F R2 D2
D' U2 F' L2 F' R2 F2
D U2 R2 B' L2 U2 B
D' U2 F' R' L2 F R'
D' U2 F' R2 L2 D F
D' U2 F' R2 L2 D' F
D' U2 F' R2 L2 D2 F
D' U2 F' R2 L2 F D
D' U2 F' R2 L2 F D'
D' U2 F' R2 L2 F D2
D' U2 F' R2 F L2 F
D' U2 F' R2 F' L2 F
D' U2 F' R2 F2 L2 F
D U2 F D2 L2 R2 F
D U2 F D2 L2 F R2
D U2 F D2 R2 L2 F
D' U2 F2 L2 R' F R'
D' U2 F2 L2 R2 D F
D' U2 F2 L2 R2 D' F
D' U2 F2 L2 R2 D2 F
D' U2 F2 L2 R2 F D
D' U2 F2 L2 R2 F D'
D' U2 F2 L2 R2 F D2
U' D2 F2 L2 B2 U' F
D' U2 F2 L2 F R2 D
D' U2 F2 L2 F R2 D'
D' U2 F2 L2 F R2 D2
D' U2 F2 L2 F' R2 F2
D' U2 F2 R' L2 F R'
D' U2 F2 R2 L2 D F
D' U2 F2 R2 L2 D' F
D' U2 F2 R2 L2 D2 F
D' U2 F2 R2 L2 F D
D' U2 F2 R2 L2 F D'
D' U2 F2 R2 L2 F D2
D' U2 F2 R2 F L2 F
D' U2 F2 R2 F' L2 F
D' U2 F2 R2 F2 L2 F
U' D2 F2 U' D L2 F
B' U2 R U' F2 B' U
B' U2 R U' B' F2 U
U' D2 F2 D U' L2 F
U' D2 F2 B2 U B U2
D U2 F' D2 L2 R2 F
D U2 F' D2 L2 F R2
D U2 F' D2 R2 L2 F
D' U2 B R2 B' L2 F
B' U2 R' U' F2 B' U
B' U2 R' U' B' F2 U
D U2 F2 D2 L2 R2 F
D U2 F2 D2 L2 F R2
D U2 F2 D2 R2 L2 F
B' U2 R2 U' F2 B' U
B' U2 R2 U' B' F2 U
R' D2 B' U' F2 B' U'
R' D2 B' U' B' F2 U'
D' U2 B' U2 L2 B R2
D' U2 B' U2 B L2 R2
D' U2 B' U2 B R2 L2
D' U2 B2 L2 R2 F' B2
D' U2 B2 L2 R2 B2 F'
D' U2 B2 R2 L2 F' B2
D' U2 B2 R2 L2 B2 F'
D' U2 B2 R2 F' L2 B2
D' U2 B2 R2 F' B2 L2
D' U2 B2 R2 B2 L2 F'
D' U2 B2 R2 B2 F' L2
U' D2 B2 U' D R2 F'
D U2 B' L2 R2 F' U2
U' D2 B2 D U' R2 F'
R2 D2 B' U' F2 B' U'
R2 D2 B' U' B' F2 U'
D U2 B' R2 L2 F' U2
D U2 B' R2 F' L2 U2
U' D2 B2 F2 U B U2
B' U2 D' L2 U F U'
R D2 B' U' F2 B' U'
R D2 B' U' B' F2 U'
D' F L' R2 B L' F
D' F L2 R' F R' B
D' F L2 R2 D F B
D' F L2 R2 D B F
D' F L2 R2 D' F B
D' F L2 R2 D' B F
D' F L2 R2 D2 F B
D' F L2 R2 D2 B F
D' F L2 R2 F D B
D' F L2 R2 F D' B
D' F L2 R2 F D2 B
D' F L2 R2 F B D
D' F L2 R2 F B D'
D' F L2 R2 F B D2
D' F L2 R2 B D F
D' F L2 R2 B D' F
D' F L2 R2 B D2 F
D' F L2 R2 B F D
D' F L2 R2 B F D'
D' F L2 R2 B F D2
D' F L2 F R2 D2 B2
D' F L2 B R2 F B
D' F L2 B R2 B F
D' F L2 B' R2 F B
D' F L2 B' R2 B F
D' F L2 B2 R2 F B
D' F L2 B2 R2 B F
D F L2 R2 U2 F B
D F L2 R2 U2 B F
D F L2 F' R2 U2 F2
D' F R' L2 F R' B
B' U2 F2 B' U F2 B
B' U2 F2 B' U B F2
D' F R2 L' B L' F
D' F R2 L2 D F B
D' F R2 L2 D B F
D' F R2 L2 D' F B
D' F R2 L2 D' B F
D' F R2 L2 D2 F B
D' F R2 L2 D2 B F
D' F R2 L2 F D B
D' F R2 L2 F D' B
D' F R2 L2 F D2 B
D' F R2 L2 F B D
D' F R2 L2 F B D'
D' F R2 L2 F B D2
D' F R2 L2 B D F
D' F R2 L2 B D' F
D' F R2 L2 B D2 F
D' F R2 L2 B F D
D' F R2 L2 B F D'
D' F R2 L2 B F D2
B' U2 B D' R2 B' L2
B' U2 B D' B' L2 R2
B' U2 B D' B' R2 L2
D' F R2 F L2 F B
D' F R2 F L2 B F
D' F R2 F' L2 F B
D' F R2 F' L2 B F
D' F R2 F2 L2 F B
D' F R2 F2 L2 B F
D' F R2 B L2 D2 F2
D' F U L2 R2 F B
D' F U L2 R2 B F
D' F U R2 L2 F B
D' F U R2 L2 B F
D F R2 L2 U2 F B
D F R2 L2 U2 B F
B' U2 B' F2 U F2 B
B' U2 B' F2 U B F2
D' F U' L2 R2 F B
D' F U' L2 R2 B F
D F R2 B' L2 U2 B2
D' F U' R2 L2 F B
D' F U' R2 L2 B F
D' F U2 L2 R2 F B
D' F U2 L2 R2 B F
D' F U2 R2 L2 F B
D' F U2 R2 L2 B F
B' D L2 R2 U' F U'
D F D2 L2 R2 F B
D F D2 L2 R2 B F
B' D R2 L2 U' F U'
B' D R2 U D B' U
B' D R2 U D' B' U
B' D R2 U D2 B' U
B' D R2 U B' U D
B' D R2 U B' U D'
B' D R2 U B' U D2
B' D R2 U B' D U
B' D R2 U B' D' U
B' D R2 U B' D2 U
D F D2 R2 L2 F B
D F D2 R2 L2 B F
B' D R2 D U B' U
B' D R2 D' U B' U
B' D R2 D2 U B' U
D' F B' R2 B L2 F
D' F B' U2 L2 R2 B
D' F B' U2 R2 L2 B
D' F B' U2 R2 B L2
D' F B2 L2 R2 F' B
D' F B2 L2 R2 B F'
D' F B2 R2 L2 F' B
D' F B2 R2 L2 B F'
D' F B2 R2 F' L2 B
D' F B2 R2 F' B L2
B D R2 U' L2 F' U'
D' F B2 R2 B L2 F'
D' F B2 R2 B F' L2
B D R2 U' F' L2 U'
B' D U B' U D2 L2
B' D U B' U' R2 U2
B' D U B' D' F2 U
B' D U B' D2 U L2
D F B' L2 R2 U2 B
D F B' L2 F' R2 U2
D F B' R2 L2 U2 B
U F B2 R2 F U F2
D' F' L2 R B' R F
D' F' L2 R' F R' B'
D' F' L2 R2 D F B'
D' F' L2 R2 D B' F
D' F' L2 R2 D' F B'
D' F' L2 R2 D' B' F
D' F' L2 R2 D2 F B'
D' F' L2 R2 D2 B' F
D' F' L2 R2 F D B'
D' F' L2 R2 F D' B'
D' F' L2 R2 F D2 B'
D' F' L2 R2 F B' D
D' F' L2 R2 F B' D'
D' F' L2 R2 F B' D2
D' F' L2 R2 B' D F
D' F' L2 R2 B' D' F
D' F' L2 R2 B' D2 F
D' F' L2 R2 B' F D
D' F' L2 R2 B' F D'
D' F' L2 R2 B' F D2
D' F' L2 F R B' R
D' F' L2 F R2 D B'
D' F' L2 F R2 D' B'
D' F' L2 F R2 D2 B'
D' F' L2 F R2 B' D
D' F' L2 F R2 B' D'
D' F' L2 F R2 B' D2
D' F' L2 F B R2 B2
D' F' L2 F B' R2 D
D' F' L2 F B' R2 D'
D' F' L2 F B' R2 D2
D' F' L2 F' R2 F2 B'
D' F' L2 F' R2 B' F2
D' F' L2 F' B' R2 F2
D' F' L2 B R2 F B2
D' F' L2 B R2 B2 F
D' F' L2 B F R2 B2
D' F' L2 B' R' F R'
D' F' L2 B' R2 D F
D' F' L2 B' R2 D' F
D' F' L2 B' R2 D2 F
D' F' L2 B' R2 F D
D' F' L2 B' R2 F D'
D' F' L2 B' R2 F D2
D' F' L2 B' F R2 D
D' F' L2 B' F R2 D'
D' F' L2 B' F R2 D2
D' F' L2 B' F' R2 F2
D' F' R L2 B' R F
U2 F' L2 F D' L2 R2
U2 F' L2 F D' R2 L2
D F' L2 R2 U2 F B'
D F' L2 R2 U2 B' F
D' F' R' L2 F R' B'
D' F' R2 L2 D F B'
D' F' R2 L2 D B' F
D' F' R2 L2 D' F B'
D' F' R2 L2 D' B' F
D' F' R2 L2 D2 F B'
D' F' R2 L2 D2 B' F
D' F' R2 L2 F D B'
D' F' R2 L2 F D' B'
D' F' R2 L2 F D2 B'
D' F' R2 L2 F B' D
D' F' R2 L2 F B' D'
D' F' R2 L2 F B' D2
D' F' R2 L2 B' D F
D' F' R2 L2 B' D' F
D' F' R2 L2 B' D2 F
D' F' R2 L2 B' F D
D' F' R2 L2 B' F D'
D' F' R2 L2 B' F D2
B2 D B R2 U B' U
D' F' U L2 R2 F B'
D' F' U L2 R2 B' F
D' F' U L2 F R2 B'
D' F' U L2 F B' R2
D' F' U L2 B' R2 F
D' F' U L2 B' F R2
D' F' U R2 L2 F B'
D' F' U R2 L2 B' F
D F' R2 L2 U2 F B'
D F' R2 L2 U2 B' F
D F' R2 F L2 U2 F
D F' R2 F B' L2 U2
D' F' U' L2 R2 F B'
D' F' U' L2 R2 B' F
D' F' U' L2 F R2 B'
D' F' U' L2 F B' R2
D' F' U' L2 B' R2 F
D' F' U' L2 B' F R2
D F' R2 B' L2 U2 B'
D F' R2 B' F L2 U2
D' F' U' R2 L2 F B'
D' F' U' R2 L2 B' F
D' F' U2 L2 R2 F B'
D' F' U2 L2 R2 B' F
D' F' U2 L2 F R2 B'
D' F' U2 L2 F B' R2
D' F' U2 L2 B' R2 F
D' F' U2 L2 B' F R2
D' F' U2 R2 L2 F B'
D' F' U2 R2 L2 B' F
F2 D' L2 R U R F
F2 D' L2 R' U R' F
F2 D' L2 R' U F R'
F2 D' L2 U R' F R'
F2 D' L2 U R2 D F
F2 D' L2 U R2 D' F
F2 D' L2 U R2 D2 F
F2 D' L2 U R2 F D
F2 D' L2 U R2 F D'
F2 D' L2 U R2 F D2
F2 D' L2 U F R2 D
F2 D' L2 U F R2 D'
F2 D' L2 U F R2 D2
F2 D' L2 U F' R2 F2
F2 D' L2 D B2 U F
B' D' R U B' U L2
F2 D' L2 B U R2 F
F2 D' L2 B U F R2
F2 D' L2 B' U R2 F
F2 D' L2 B' U F R2
F2 D' L2 B2 U R2 F
F2 D' L2 B2 U F R2
F2 D' R L2 U R F
B' D' R' U B' U L2
F2 D' R' L2 U R' F
F2 D' R' L2 U F R'
D F' D2 L2 R2 F B'
D F' D2 L2 R2 B' F
D F' D2 L2 F R2 B'
D F' D2 L2 F B' R2
D F' D2 L2 B' R2 F
D F' D2 L2 B' F R2
B' D' R2 U B' U L2
D F' D2 R2 L2 F B'
D F' D2 R2 L2 B' F
D' F' B' L2 B' R2 F'
D' F' B' U2 L2 R2 B'
D' F' B' U2 L2 B' R2
D' F' B' U2 R2 L2 B'
D' F' B2 L2 R2 F' B'
D' F' B2 L2 R2 B' F'
B' D' U F B' U L2
D' F' B2 R2 L2 F' B'
D' F' B2 R2 L2 B' F'
B' D' U F' B' U L2
B' D' U F2 B' U L2
B' D' U B' U L2 D
B' D' U B' U L2 D'
B' D' U B' U L2 D2
B' D' U B' D F2 U
B' D' U B' F U L2
B' D' U B' F' U L2
B' D' U B' F2 U L2
D F' B' L2 R2 U2 B'
D F' B' R2 L2 U2 B'
D F' B' R2 F L2 U2
B' D' U2 L2 U F U'
B D' U B R2 U L2
D' F2 L2 R2 D2 F B2
D' F2 L2 R2 D2 B2 F
D' F2 L2 F' R2 F2 B
D' F2 L2 F' R2 B F2
D F2 L2 R2 F2 U2 F'
U2 F2 L2 B2 U F B2
U2 F2 L2 B2 U B2 F
D F2 L2 F2 R2 B U2
D' F2 R2 L2 D2 F B2
D' F2 R2 L2 D2 B2 F
B2 D' B U B' U L2
D' F2 R2 F L2 F B'
D' F2 R2 F L2 B' F
U F2 R B2 R2 U F'
U F2 R B2 U' B U2
D F2 R2 L2 F2 U2 F'
U F2 R' B2 R2 U F'
U F2 R' B2 U' B U2
D F2 R2 F2 L2 U2 F
F2 D' B2 L2 U R2 F'
D F2 R2 F2 B' L2 U2
D F2 R2 B' L2 F2 U2
D F2 R2 B' F2 L2 U2
L2 F2 U F' D' R2 B
U F2 R2 B2 R2 U F'
U F2 R2 B2 U' B U2
D2 F2 D R2 U' L2 F
U F2 U' D L2 U2 F
U F2 U' D B' L2 U2
U F2 U' D' B' U2 R2
B' D2 L2 U' F B2 U'
B' D2 L2 U' B2 F U'
U F2 U' B' U B' U
R' F2 D' L2 U R2 F
R' F2 D' L2 U F R2
L2 F2 D' L2 U F' R2
R2 F2 D' L2 U R2 F
R2 F2 D' L2 U F R2
U F2 D U' L2 U2 F
U F2 D U' B' L2 U2
U F2 D' U' B' U2 R2
R F2 D' L2 U R2 F
R F2 D' L2 U F R2
D F2 D2 L2 R2 F B2
D F2 D2 L2 R2 B2 F
D F2 D2 L2 F R2 B2
D F2 D2 L2 F B2 R2
D F2 D2 L2 B2 R2 F
D F2 D2 L2 B2 F R2
D F2 D2 R2 L2 F B2
D F2 D2 R2 L2 B2 F
U F2 D' B2 U R2 F'
D F2 D2 B2 L2 R2 F'
D F2 D2 B2 R2 L2 F'
D F2 D2 B2 R2 F' L2
U' F2 B2 U' B U2 B'
R' F2 B2 U' F2 B U2
R' F2 B2 U' B F2 U2
D2 F2 B2 U F2 B U2
D2 F2 B2 U B F2 U2
B' D2 U B' U2 B' U'
D2 F2 B2 D R2 U' F'
D F2 B' L2 R2 F2 U2
D F2 B' L2 F2 R2 U2
D F2 B' R2 L2 F2 U2
D F2 B' R2 F2 L2 U2
U F2 B D' B R2 U
U2 F2 B2 R2 U F' B2
U2 F2 B2 R2 U B2 F'
U F2 B D2 B U F2
F2 D2 U B2 D R2 F'
L2 F2 B2 U D2 F' B2
L2 F2 B2 U D2 B2 F'
U2 F2 B2 U' B U2 B
L2 F2 B2 U' F2 U2 F
B' D2 U' B2 U2 B U
L2 F2 B2 D' L2 U F'
L2 F2 B2 D2 U F' B2
L2 F2 B2 D2 U B2 F'
R2 F2 B2 U' F2 B U2
R2 F2 B2 U' B F2 U2
D' B L B2 R' U2 R'
U F2 B2 R2 U D F'
U F2 B2 R2 U D' F'
U F2 B2 R2 U D2 F'
U F2 B2 R2 U F' D
U F2 B2 R2 U F' D'
U F2 B2 R2 U F' D2
U F2 B2 R2 D U F'
U F2 B2 R2 D' U F'
U F2 B2 R2 D2 U F'
D B L R2 B2 U2 R'
U F2 B2 U R2 F' R2
U F2 B2 U' D B U2
U F2 B2 U' D' B U2
U F2 B2 U' D2 B U2
U F2 B2 U' B U2 D
U F2 B2 U' B U2 D'
U F2 B2 U' B U2 D2
U F2 B2 U' B D U2
U F2 B2 U' B D' U2
U F2 B2 U' B D2 U2
U F2 B2 D R2 U F'
U F2 B2 D U' B U2
U F2 B2 D' R2 U F'
U F2 B2 D' U' B U2
D' B L' B2 U2 L' R2
D' B L' B2 U2 R2 L'
U F2 B2 D2 R2 U F'
U F2 B2 D2 U' B U2
R F2 B2 U' F2 B U2
R F2 B2 U' B F2 U2
D B L B2 R2 U2 R
D B L' R2 B2 L' U2
D B L' B2 L' R2 U2
D B L' B2 R2 L' U2
D B L2 R B2 R U2
D B L2 R' B2 U2 L
D B L2 R2 U2 D2 F2
D B L2 R2 D2 U2 F2
D B L2 R2 B2 U2 D
D B L2 R2 B2 U2 D'
D B L2 R2 B2 U2 D2
D B L2 R2 B2 D U2
D B L2 R2 B2 D' U2
D B L2 R2 B2 D2 U2
D B L2 U2 D2 L2 F2
D B L2 U2 D2 F2 L2
D' B R B2 U2 L2 R
D' B R B2 U2 R L2
D B L2 D2 U2 L2 F2
D B L2 D2 U2 F2 L2
D B L2 B R2 U2 F'
D B L2 B' R2 B' U2
D B L2 B2 R2 U2 D
D B L2 B2 R2 U2 D'
D B L2 B2 R2 U2 D2
D B L2 B2 R2 D U2
D B L2 B2 R2 D' U2
D B L2 B2 R2 D2 U2
D B L2 B2 U2 D2 L2
D B L2 B2 D2 U2 L2
D B R L2 B2 R U2
D' B R' B2 L U2 L
D B R B2 L2 R U2
D B R B2 R L2 U2
D B R' L2 B2 U2 L
D B R' B2 L2 U2 L'
D B R2 L B2 U2 R'
D B R2 L' B2 L' U2
D B R2 L2 U2 D2 F2
D B R2 L2 D2 U2 F2
D B R2 L2 B2 U2 D
D B R2 L2 B2 U2 D'
D B R2 L2 B2 U2 D2
D B R2 L2 B2 D U2
D B R2 L2 B2 D' U2
D B R2 L2 B2 D2 U2
D B R2 U2 D2 R2 F2
D B R2 U2 D2 F2 R2
D B R2 D2 U2 R2 F2
D B R2 D2 U2 F2 R2
D B R2 B L2 B U2
D B R2 B' L2 U2 F
D B R2 B2 L2 U2 D
D B R2 B2 L2 U2 D'
D B R2 B2 L2 U2 D2
D B R2 B2 L2 D U2
D B R2 B2 L2 D' U2
D B R2 B2 L2 D2 U2
D B R2 B2 U2 D2 R2
D B R2 B2 D2 U2 R2
L2 B U F2 B U F'
L2 B U B F2 U F'
D' B U2 L2 R2 D2 F2
D' B U2 R2 L2 D2 F2
D B U2 D2 L2 R2 F2
D B U2 D2 L2 F2 R2
D B U2 D2 R2 L2 F2
D B U2 D2 R2 F2 L2
D B U2 D2 F2 L2 R2
D B U2 D2 F2 R2 L2
D' B D2 L2 R2 U2 F2
D' B D2 R2 L2 U2 F2
U B D' B R2 U L2
D B D2 U2 L2 R2 F2
D B D2 U2 L2 F2 R2
D B D2 U2 R2 L2 F2
D B D2 U2 R2 F2 L2
D B D2 U2 F2 L2 R2
D B D2 U2 F2 R2 L2
B2 F R2 F U F2 B
B2 F R2 F U B F2
D' B' L R U2 L R
D' B' L R U2 R L
D' B' L R' U2 L R'
D' B' L R' U2 R' L
D' B' L U2 L R2 D
D' B' L U2 L R2 D'
D' B' L U2 L R2 D2
D' B' L U2 R2 L D
D' B' L U2 R2 L D'
D' B' L U2 R2 L D2
D' B' L U2 R2 D L
D' B' L U2 R2 D' L
D' B' L U2 R2 D2 L
D' B' L D2 L2 U2 L'
D' B' L' R U2 L' R
D' B' L' R U2 R L'
D' B' L' R' U2 L' R'
D' B' L' R' U2 R' L'
D' B' L' U2 L' R2 D
D' B' L' U2 L' R2 D'
D' B' L' U2 L' R2 D2
D' B' L' U2 R2 L' D
D' B' L' U2 R2 L' D'
D' B' L' U2 R2 L' D2
D' B' L' U2 R2 D L'
D' B' L' U2 R2 D' L'
D' B' L' U2 R2 D2 L'
D' B' L' D2 L2 U2 L
D B' L R2 D L U2
D B' L R2 D' L U2
D B' L R2 D2 L U2
D B' L D2 L U2 L
U B F2 D' B R2 U
U B F2 D2 B U F2
D' B' L2 U2 R2 D2 L2
D' B' L2 D2 L2 U2 L2
D B' L' R2 D L' U2
D B' L' R2 D' L' U2
D B' L' R2 D2 L' U2
D B' L' D2 L' U2 L'
D' B' R L U2 L R
D' B' R L U2 R L
D' B' R L' U2 L' R
D' B' R L' U2 R L'
R' B' R U F2 B' U
R' B' R U B' F2 U
D2 B' R U' F2 B' U'
D2 B' R U' B' F2 U'
D' B' R U2 L2 R D
D' B' R U2 L2 R D'
D' B' R U2 L2 R D2
D' B' R U2 L2 D R
D' B' R U2 L2 D' R
D' B' R U2 L2 D2 R
D' B' R U2 R L2 D
D' B' R U2 R L2 D'
D' B' R U2 R L2 D2
D B' L2 R D R U2
D B' L2 R D' R U2
D B' L2 R D2 R U2
D B' L2 R' D R' U2
D B' L2 R' D' R' U2
D B' L2 R' D2 R' U2
D' B' R D2 R2 U2 R'
D B' L2 U D' F2 U
D B' L2 U' D B2 U'
F2 B D' L2 B R2 U
D B' L2 U2 L D2 L2
D B' L2 U2 L' D2 L2
D B' L2 U2 L2 D2 L2
D B' L2 U2 D2 L2 D
D B' L2 U2 D2 L2 D'
D B' L2 U2 D2 L2 D2
D B' L2 D U' B2 U'
D B' L2 D' U F2 U
D B' L2 D2 R U2 L2
D B' L2 D2 R' U2 L2
D B' L2 D2 R2 U2 L2
D B' L2 D2 U2 L2 D
D B' L2 D2 U2 L2 D'
D B' L2 D2 U2 L2 D2
D' B' R' L U2 L R'
D' B' R' L U2 R' L
D B' L2 F R2 U2 B
D' B' R' L' U2 L' R'
D' B' R' L' U2 R' L'
R' B' R' U F2 B' U
R' B' R' U B' F2 U
D B' L2 F' R2 F U2
D2 B' R' U' F2 B' U'
D2 B' R' U' B' F2 U'
