F' U' F L2
F' U' F L2 D
F' U' F L2 D'
F' U' F L2 D2
F' U' F' L2 F2
F' U' F2 L2 F'
L' F' U' F L'
U F' U' L2 B'
L F' U' F L
D' F' B2 U' F
F' D' B2 U' F
F' B U' F L2
B' F' U' F L2
F' B' U' F L2
B2 F' U' F L2
B F' U' F L2
F' B2 U' F L2
D' B2 F' U' F
F' B2 U2 R' U F L2
D' B2 D2 L F' U' F
F' B2 U2 R2 U F L2
D' B2 D2 L' F' U' F
F' B2 U2 D F2 U F'
D' B2 D2 L2 F' U' F
F' B2 U2 F' U L2 F2
F' B2 U2 F' U F2 L2
F' B2 U2 F2 U L2 F'
F' B2 U2 F2 U F' L2
D2 B2 D2 F' U' F L2
D' B2 D2 F' U' D F
D' B2 D2 F' U' D' F
D' B2 D2 F' U' D2 F
D' B2 D2 F' U' F D
D' B2 D2 F' U' F D'
D' B2 D2 F' U' F D2
D' B2 D2 F' D U' F
D' B2 D2 F' D' U' F
D' B2 D2 F' D2 U' F
F B2 U' L2 D F' R2
L' B2 D2 F' U' F L'
D' B2 F L F2 U' F
D' B2 F L' F2 U' F
D' B2 F L2 F2 U' F
D B2 D' F' U' F L2
F' B2 D U2 F2 U F'
D' B2 F U' D F' R2
D' B2 F D U' F' R2
B' F2 D' F L2 B2 U'
B' F2 D' F B2 L2 U'
D' B2 F' L2 U B' U2
D2 B2 F' U R2 U2 F
B' F2 D' B2 F L2 U'
D2 B2 F' U' D2 F L2
D2 B2 F' U' F D2 L2
F' B2 D' U' F D L2
D B2 D2 F' B2 U' F
D' B2 F' U B U2 F
D' B2 F' U B' U2 F
D' B2 F' U B2 U2 F
D2 B2 F' D B2 U' F
D' B2 F' U' R F R'
D' B2 F' U' R2 F R2
D' B2 F' U' D F D
D' B2 F' U' D F D'
D' B2 F' U' D F D2
D' B2 F' U' D' F D
D' B2 F' U' D' F D'
D' B2 F' U' D' F D2
D' B2 F' U' D2 F D
D' B2 F' U' D2 F D'
D' B2 F' U' D2 F D2
D' B2 F' U' F2 D F'
D' B2 F' U' F2 D' F'
D' B2 F' U' F2 D2 F'
D' B2 F' U2 R U F
D' B2 F' U2 R' U F
D' B2 F' U2 R2 U F
D2 B2 F' D2 U' F L2
L' B2 F' U' F L' D
L' B2 F' U' F L' D'
L' B2 F' U' F L' D2
L' B2 F' U' F D L'
L' B2 F' U' F D' L'
L' B2 F' U' F D2 L'
D' B2 F' D U' F D
D' B2 F' D U' F D'
D' B2 F' D U' F D2
B2 F2 D' F L2 B2 U'
D B2 D2 B2 F' U' F
D' B2 F' D' U' F D
D' B2 F' D' U' F D'
D' B2 F' D' U' F D2
B2 F2 D' F B2 L2 U'
L2 B2 F' L U' L' F
D' B2 F' D2 U' F D
D' B2 F' D2 U' F D'
D' B2 F' D2 U' F D2
F' B2 D' B2 U' D F
F' B2 D' B2 U' D' F
F' B2 D' B2 U' D2 F
F' B2 D' B2 U' F D
F' B2 D' B2 U' F D'
F' B2 D' B2 U' F D2
F' B2 D' B2 D U' F
F' B2 D' B2 D' U' F
F' B2 D' B2 D2 U' F
F2 B2 D' F L2 B2 U'
F2 B2 D' F B2 L2 U'
L2 B2 F' L2 U' L2 F
B2 F2 D' B2 F L2 U'
F2 B2 D' B2 F L2 U'
F' B2 D2 U R2 U2 F
F' B2 D2 U' F D2 L2
D' B2 F2 D' F L2 U'
B F2 D' F L2 B2 U'
B F2 D' F B2 L2 U'
B F2 D' B2 F L2 U'
D B2 F' U' F D' L2
D B2 F' U2 F' U F2
U B2 F' R U' L2 B'
U B2 F' R' U' L2 B'
U B2 F' R2 U' L2 B'
L B2 F' U R' U2 F
U B2 F' U F U2 L2
U B2 F' U' L2 D B'
U B2 F' U' L2 D' B'
U B2 F' U' L2 D2 B'
U B2 F' U' L2 B' D
U B2 F' U' L2 B' D'
U B2 F' U' L2 B' D2
U B2 F' U' B L2 B'
U B2 F' U' B' L2 B'
U B2 F' U' B2 L2 B'
