R' L U R2
L R' U R2
R' L U R2 D
R' L U R2 D'
R' L U R2 D2
D L R' U R2
D' L R' U R2
D2 L R' U R2
R' L D B2 U
R' L B U R2
R' L B' U R2
R' L B2 U R2
L R' U R2 D
L R' U R2 D'
L R' U R2 D2
L R' D B2 U
L R' B U R2
L R' B' U R2
L R' B2 U R2
L U R D' F2
D' R' L U R2
D R' L U R2
D2 R' L U R2
R' D L B2 U
R' D L B2 U
L D R' U R2
L D' R' U R2
L D2 R' U R2
R' B' U R D2 B R
R' B' U R B R D
R' B' U R B R D'
R' B' U R B R D2
R' B' U R B D R
R' B' U R B D' R
R' B' U R B D2 R
R' B' U R B' R B2
R' B' U R B2 R B'
D2 B' U D' R F' B
D2 B' U D' R B F'
D' B' U D' R F' B
D' B' U D' R B F'
L' B' U D' R F' B2
L' B' U D' R B2 F'
L' B' U D' B2 R F'
R' B' U B R B R
R' B' U B' R B R
R' B' U B2 R B R
R' B' U' L F U2 R2
L B' R' B R' U R'
R' B' U' L' U2 R2 B'
R' B' U' L' U2 B' R2
R B' R2 U R B R
D B' U D' R F' B
D B' U D' R B F'
R' B' U2 R U' R B
R' B' U2 F R U' R
R B' R2 B L U R2
L B' U D' R D F'
L B' U D' R D' F'
L B' U D' R D2 F'
L B' U D' R F' D
L B' U D' R F' D'
L B' U D' R F' D2
R' B' D B L B U
L2 B' D L' U R F
D2 B' D' U R F' B
D2 B' D' U R B F'
D' B' D' U R F' B
D' B' D' U R B F'
L' B' D' U R F' B2
L' B' D' U R B2 F'
L' B' D' U B2 R F'
L2 B' D' L' U R F'
D B' D' U R F' B
D B' D' U R B F'
L B' D' R' U R2 F'
L B' D' U R D F'
L B' D' U R D' F'
L B' D' U R D2 F'
L B' D' U R F' D
L B' D' U R F' D'
L B' D' U R F' D2
L B' D' B U R F'
L B' D' B' U R F'
L B' D' B2 U R F'
R' B2 L U2 R' U' R'
R' B2 L D B2 L U
R' B2 L B2 L U R2
U2 B2 L R' B2 U' R2
R' B2 L' U2 R' U' R'
R' B2 L' D B2 L U
R' B2 L' B2 L U R2
L2 B2 L' U R D F2
L2 B2 L' U D R F2
L2 B2 L' U2 L2 U' R
R' B2 L2 U2 R' U' R'
L2 B2 L' D U R F2
R' B2 L2 D B2 L U
U B2 L R' U' L' R2
U B2 L R' U' R2 L'
L2 B2 L' D2 R2 U R'
L' B2 L2 U2 L' U' R
R' B2 L2 B2 L U R2
R2 B2 R U D B2 R'
R2 B2 R D U B2 R'
U2 B2 R' L B2 U' R2
U B2 R U L R2 U'
U B2 R U R2 L U'
R' B2 U R D R B2
R' B2 U R D B2 R
L B2 R B2 R' U R
R' B2 U R2 U R U'
U B2 R' L U' L' R2
U B2 R' L U' R2 L'
L B2 R' U2 L U' R2
U' B2 U' L R' U' R2
L B2 R' D B2 R' U
U' B2 U' R' L U' R2
L B2 R' B2 R' U R'
L B2 R2 U2 L U' R'
D2 B2 U2 L R' U' R2
D' B2 U2 L R' U' R2
R B2 R2 U2 R U' R
R' B2 U2 R' U' R' D
R' B2 U2 R' U' R' D'
R' B2 U2 R' U' R' D2
R' B2 U2 R' U' D R'
R' B2 U2 R' U' D' R'
R' B2 U2 R' U' D2 R'
D2 B2 U2 R' L U' R2
R' B2 U2 R' D U' R'
R' B2 U2 R' D' U' R'
R' B2 U2 R' D2 U' R'
R' B2 U2 R' F U' R'
R' B2 U2 R' F' U' R'
R' B2 U2 R' F2 U' R'
U B2 U L R' U' R2
R' B2 U2 D' R' F2 U'
D' B2 U2 R' L U' R2
R' B2 U2 D' F2 R' U'
R' B2 U2 F R' U' R'
L B2 U R U L U'
R' B2 U2 F' R' U' R'
R' B2 U2 F2 R' U' R'
U B2 U R' L U' R2
R' B2 D L B2 L U
R' B2 D L' B2 L U
R' B2 D L2 B2 L U
D B2 U2 L R' U' R2
R' B2 D B2 L U D
R' B2 D B2 L U D'
R' B2 D B2 L U D2
R' B2 D B2 L D U
R' B2 D B2 L D' U
R' B2 D B2 L D2 U
R' B2 D B2 D L U
R' B2 D B2 D' L U
R' B2 D B2 D2 L U
D B2 U2 R' L U' R2
L B2 U2 L U' R D
L B2 U2 L U' R D'
L B2 U2 L U' R D2
L B2 U2 L U' D R
L B2 U2 L U' D' R
L B2 U2 L U' D2 R
L B2 U2 L D U' R
L B2 U2 L D' U' R
L B2 U2 L D2 U' R
R' B2 D' U2 R' F2 U'
R' B2 D' U2 F2 R' U'
L B2 U2 D L U' R
L B2 U2 D' L U' R
L B2 U2 D2 L U' R
L B2 D U2 L U' R
L B2 D B2 R' U R2
L B2 D' U2 L U' R
L B2 D' B2 R' U R2
L B2 D2 U2 L U' R
L B2 D2 B2 R' U R2
R' L U R2
L R' U R2
