D R' F B
D R' B F
D F R' B
F R' U' L' U
D R' D F B
D R' D B F
D R' D' F B
D R' D' B F
D R' D2 F B
D R' D2 B F
D R' F D B
D R' F D' B
D R' F D2 B
D R' F B D
D R' F B D'
D R' F B D2
F' R' F2 D B2
D R' B D F
D R' B D' F
D R' B D2 F
D R' B F D
D R' B F D'
D R' B F D2
F U' L' U R'
R' F U' L' U
D F R' D B
D F R' D' B
D F R' D2 B
D F R' B D
D F R' B D'
D F R' B D2
D' F D2 R' B
D2 F D' R' B
D F' R' F2 B
D F' R' B F2
B2 D B2 F' R' B F2
R F' R2 F2 U R' U'
U2 F' U' R U' R2 F2
U2 F' U' R U' F2 R2
B D B2 R' F B R'
B D B2 R' B R' F
B D B2 R' B F R'
B2 D' L U2 B' L' F
R F' U R U' R F2
B D B2 F R' B R'
U2 F' U2 R' F2 D B2
U F' U' R' F2 D B2
F D' L R' D' L' B2
F D' L R' D' B2 L'
D F' U2 R' F2 L' B
D F' U2 R' F2 B L'
D F' U2 R' B F2 L'
F' D' L2 R U' L2 R2
F' D' L2 R U' R2 L2
F D' L D' L' R' B2
B D' L B' L' R' F
B D' L B' L' F R'
F D' L D' R' L' B2
F D' L D' R' B2 L'
B D' L B' R' L' F
D2 F' D' R' D F2 B
D2 F' D' R' D B F2
D2 F' D' R' B D F2
R' F' D' U L2 R U'
R' F' D' U R L2 U'
F' D' R L2 U' L2 R2
F' D' R L2 U' R2 L2
D' F' D2 R' D2 F2 B
D' F' D2 R' D2 B F2
F' D' R' U L2 R2 U'
F' D' R' U R2 L2 U'
U F' D' L2 R U' R2
U F' D' R L2 U' R2
F' D' R' D F2 B2 D
F' D' R' D F2 B2 D'
F' D' R' D F2 B2 D2
F' D' R' D B2 F2 D
F' D' R' D B2 F2 D'
F' D' R' D B2 F2 D2
R' F' B U R U' F2
F' D' R' F D F2 B2
F' D' R' F D B2 F2
F' D' R' F' D F2 B2
F' D' R' F' D B2 F2
F' D' R' F2 D F2 B2
F' D' R' F2 D B2 F2
F D' R U' L' U R2
F' D' R' B D F2 B2
F' D' R' B D B2 F2
F' D' R' B' D F2 B2
F' D' R' B' D B2 F2
F' D' R' B2 D F2 B2
F' D' R' B2 D B2 F2
R' F' B' U R U' F2
F D' R' L D' L' B2
F D' R' L D' B2 L'
F D' R' U' L' U D
F D' R' U' L' U D'
F D' R' U' L' U D2
F D' R' U' L' D U
F D' R' U' L' D' U
F D' R' U' L' D2 U
F D' R' U' D L' U
F D' R' U' D' L' U
F D' R' U' D2 L' U
F D' R' D U' L' U
F D' R' D' U' L' U
F' D' U L2 R U' R2
F D' R' D2 U' L' U
F' D' U R L2 U' R2
R' F' B2 U R U' F2
F D' R' B U' L' U
F D' R' B' U' L' U
F D' R' B2 U' L' U
D F' B' R' F2 B R'
D F' B' R' B R' F2
D F' B' R' B F2 R'
F D' R2 U' L' U R
L' F2 L F R' D B2
F D' U F2 R U' R2
R' F2 L' F' L D' B2
F D' U' L' U R' D
F D' U' L' U R' D'
F D' U' L' U R' D2
F D' U' L' U D R'
F D' U' L' U D' R'
F D' U' L' U D2 R'
F D' U' L' D U R'
F D' U' L' D' U R'
F D' U' L' D2 U R'
F' D' F D R' F2 B
F' D' F D R' B F2
F' D' F D F2 R' B
F2 D' F R' F2 D B2
B2 D' F U2 L U2 B'
B2 D' F D2 B2 R' B
B2 D' F B2 D2 R' B
B D' F L B' L' R'
B D' F L B' R' L'
D F2 L' F' L R' B
D F2 L' F' R' L B
F2 D' F' R' U' L' U
L2 F2 L2 F R' D B2
F2 D' F' U' L' U R'
B D' F D2 B' R' B
B D' F B' D2 R' B
D F2 L2 F' L2 R' B
D F2 L2 F' R' L2 B
D F2 L2 F' R' B L2
F2 D' F2 D R' F B
F2 D' F2 D R' B F
F2 D' F2 D F R' B
F D' F' D R' F B
F D' F' D R' B F
F D' F' D F R' B
F D' F2 R' F2 D B2
R' F2 U L' U' F' B'
R' F2 U L' U' B' F'
D F2 R' B R F' R'
F D' B U' L' B' U
B D' B' D2 R' F B
B D' B' D2 R' B F
B D' B' D2 F R' B
B2 D' B2 D2 R' F B
B2 D' B2 D2 R' B F
B2 D' B2 D2 F R' B
B D' B' F D2 R' B
B2 D' B2 F D2 R' B
F D2 L R' D' L' B2
F D2 L R' D' B2 L'
R' F2 D F' U' L' U
U F2 U' F' R B R2
D' F2 D F' R' D B2
D2 F2 D F' D2 R' B
F D2 L D' L' R' B2
F D2 L D' R' L' B2
F D2 L D' R' B2 L'
D2 F2 D' F R' F2 B
D2 F2 D' F R' B F2
R' F2 D' F' U' L' U
D2 F2 D' F' R' D B
D2 F2 D' F' R' D' B
D2 F2 D' F' R' D2 B
D2 F2 D' F' R' B D
D2 F2 D' F' R' B D'
D2 F2 D' F' R' B D2
D' F2 D' F' D' R' B
D2 F2 D' F2 R' F B
D2 F2 D' F2 R' B F
D F2 D F' D' R' B
R' F2 D2 F' U' L' U
D' F2 D2 F R' F2 B
D' F2 D2 F R' B F2
D2 F2 D2 F' R' D B2
D' F2 D2 F' R' D B
D' F2 D2 F' R' D' B
D' F2 D2 F' R' D2 B
D' F2 D2 F' R' B D
D' F2 D2 F' R' B D'
D' F2 D2 F' R' B D2
D' F2 D2 F2 R' F B
D' F2 D2 F2 R' B F
D F2 D' F' R' D B2
F' D2 R' D B2 D F2
F' D2 R' D2 F2 D' B2
F D2 R U' L' U R2
D F2 D2 F' D2 R' B
F D2 R' L D' L' B2
F D2 R' L D' B2 L'
F D2 R' U' L' U D
F D2 R' U' L' U D'
F D2 R' U' L' U D2
F D2 R' U' L' D U
F D2 R' U' L' D' U
F D2 R' U' L' D2 U
F D2 R' U' D L' U
F D2 R' U' D' L' U
F D2 R' U' D2 L' U
F D2 R' D U' L' U
F D2 R' D' U' L' U
F D2 R' D2 U' L' U
F D2 R' B U' L' U
F D2 R' B' U' L' U
F D2 R' B2 U' L' U
F D2 R2 U' L' U R
D' B L B' L' R' F
D' B L B' L' F R'
D' B L B' R' L' F
R' B L' D' L F B'
R' B L' D' L B' F
F D2 U F2 R U' R2
F D2 U' L' U R' D
F D2 U' L' U R' D'
F D2 U' L' U R' D2
F D2 U' L' U D R'
F D2 U' L' U D' R'
F D2 U' L' U D2 R'
F D2 U' L' D U R'
F D2 U' L' D' U R'
F D2 U' L' D2 U R'
F2 D2 F R' F2 D B2
B2 D2 F D' B2 R' B
R' B R D R' F B
R' B R D R' B F
R' B R D F R' B
F2 D2 F' R' U' L' U
F2 D2 F' U' L' U R'
B D2 F D' B' R' B
F2 D2 F2 D R' F B
F2 D2 F2 D R' B F
F2 D2 F2 D F R' B
R2 B R F U' L' U
F D2 F' D R' F B
F D2 F' D R' B F
F D2 F' D F R' B
F D2 F2 R' F2 D B2
D B R' F B' R' B2
D2 B U R' F' U' F2
D B R' B' R' F B2
D B R' B' R' B2 F
D B R' B' F R' B2
R2 B R2 D R' F B
R2 B R2 D R' B F
R2 B R2 D F R' B
F D2 B U' L' B' U
R B R' D R' F B
R B R' D R' B F
R B R' D F R' B
R B R2 F U' L' U
B2 F L D' L' B2 R'
R' B D R' B R F
R' B D F R' B R
R' B D' L B' L' F
R' B D' F L B' L'
R2 B D R F D2 B2
R2 B D R' F B R2
R2 B D R' B R2 F
R2 B D R' B F R2
D' B D2 F B' R' B
D' B D2 B' R' F B
D' B D2 B' R' B F
D' B D2 B' F R' B
R' B F L D' L' B2
R' B F L D' B2 L'
D' B F L B' L' R'
D' B F L B' R' L'
B F R U' L' B' U
D2 B F U R' F' U'
R' B F U' L' U D
R' B F U' L' U D'
R' B F U' L' U D2
R' B F U' L' D U
R' B F U' L' D' U
R' B F U' L' D2 U
R' B F U' D L' U
R' B F U' D' L' U
R' B F U' D2 L' U
R' B F D U' L' U
F B R U' L' B' U
R' B F D' U' L' U
R' B F D2 U' L' U
D' B F D2 B' R' B
B F R' U' L' B' U
R' B F' U R U' F2
F B R' U' L' B' U
D B F R' B' R' B2
B F R2 U' L' B' U
B' F U' L' B U R'
F B R2 U' L' B' U
R B F R2 U' L' U
B2 F U' L' U D2 R2
B2 F U' L' U' L2 U2
B2 F U' L' D' B2 U
B2 F U' L' D2 U R2
R B F U' L' U R2
B' F U' B L' U R'
B2 F U' B2 L' U R'
R' B' L' D' L F B'
R' B' L' D' L B' F
B2 F U2 L U L2 U
B2 F U2 L U2 D' B2
B2 F U2 L D F2 U2
B2 F U2 L D' U2 B2
B F U' L' D B' U
B F U' L' D' B' U
B F U' L' D2 B' U
B F U' L' B' U D
B F U' L' B' U D'
B F U' L' B' U D2
B F U' L' B' D U
B F U' L' B' D' U
B F U' L' B' D2 U
B F U' D L' B' U
B F U' D' L' B' U
B F U' D2 L' B' U
F B U' L' D B' U
F B U' L' D' B' U
F B U' L' D2 B' U
F B U' L' B' U D
F B U' L' B' U D'
F B U' L' B' U D2
F B U' L' B' D U
F B U' L' B' D' U
F B U' L' B' D2 U
B F U' B L' B' U
B F U' B' L' B' U
F B U' D L' B' U
B F U' B2 L' B' U
F B U' D' L' B' U
F B U' D2 L' B' U
F B U' B L' B' U
F B U' B' L' B' U
F B U' B2 L' B' U
R' B' R D R' F B
R' B' R D R' B F
R' B' R D F R' B
B F D U' L' B' U
F B D U' L' B' U
B F D' U' L' B' U
R2 B' R F U' L' U
F B D' U' L' B' U
B F D2 U' L' B' U
D B' R' F B R' D
D B' R' F B R' D'
D B' R' F B R' D2
D B' R' F B D R'
D B' R' F B D' R'
D B' R' F B D2 R'
D B' R' F' B R' F2
D B' R' B R F R2
D B' R' B R' D F
D B' R' B R' D' F
D B' R' B R' D2 F
D B' R' B R' F D
D B' R' B R' F D'
D B' R' B R' F D2
D B' R' B D R' F
D B' R' B D F R'
D B' R' B D' R' F
D B' R' B D' F R'
D B' R' B D2 R' F
D B' R' B D2 F R'
D B' R' B F R' D
D B' R' B F R' D'
D B' R' B F R' D2
D B' R' B F D R'
D B' R' B F D' R'
D B' R' B F D2 R'
D B' R' B F' R' F2
F B D2 U' L' B' U
R2 B' R2 D R' F B
R2 B' R2 D R' B F
R2 B' R2 D F R' B
R B' R' D R' F B
R B' R' D R' B F
D B' R2 F R B R'
R B' R' D F R' B
R B' R2 F U' L' U
R' B' D R' B R F
R' B' D F R' B R
R' B' D' L B' L' F
B2 F' R' F2 D B2 R'
R' B' D' F L B' L'
R2 B' D R F D2 B2
R2 B' D R' F B R2
R2 B' D R' B R2 F
R2 B' D R' B F R2
R' B' F L D' L' B2
R' B' F L D' B2 L'
R' B' F U' L' U D
R' B' F U' L' U D'
R' B' F U' L' U D2
R' B' F U' L' D U
R' B' F U' L' D' U
R' B' F U' L' D2 U
R' B' F U' D L' U
R' B' F U' D' L' U
R' B' F U' D2 L' U
R' B' F D U' L' U
R' B' F D' U' L' U
R' B' F D2 U' L' U
R' B' F' U R U' F2
D B' F R' B R' D
D B' F R' B R' D'
D B' F R' B R' D2
D B' F R' B D R'
D B' F R' B D' R'
D B' F R' B D2 R'
F B' U' L' B U R'
D B' F' R' F2 B R'
D B' F' R' B R' F2
D B' F' R' B F2 R'
F B' U' B L' U R'
D' B2 L U2 B' L' F
R B' F R2 U' L' U
R B' F U' L' U R2
R' B2 L' D' L F B'
R' B2 L' D' L B' F
R' B2 R D R' F B
R' B2 R D R' B F
R' B2 R D F R' B
R2 B2 R F U' L' U
F B2 L D' L' B2 R'
D B2 R F D2 B2 R'
D B2 R' F B2 R' B'
D B2 R' B2 R' F B'
D B2 R' B2 R' B' F
D B2 R' B2 F R' B'
R2 B2 R2 D R' F B
R2 B2 R2 D R' B F
R2 B2 R2 D F R' B
R B2 R' D R' F B
R B2 R' D R' B F
R B2 R' D F R' B
F' B2 R' F2 D B2 R'
R B2 R2 F U' L' U
R' B2 D R' B R F
R' B2 D F R' B R
R' B2 D' L B' L' F
R' B2 D' F L B' L'
R2 B2 D R F D2 B2
R2 B2 D R' F B R2
R2 B2 D R' B R2 F
R2 B2 D R' B F R2
F B2 U' L' U D2 R2
F B2 U' L' U' L2 U2
D' B2 D2 F B2 R' B
F B2 U' L' D' B2 U
F B2 U' L' D2 U R2
R' B2 F L D' L' B2
R' B2 F L D' B2 L'
D' B2 D2 B2 R' F B
D' B2 D2 B2 R' B F
D' B2 D2 B2 F R' B
R' B2 F U' L' U D
R' B2 F U' L' U D'
R' B2 F U' L' U D2
R' B2 F U' L' D U
R' B2 F U' L' D' U
R' B2 F U' L' D2 U
R' B2 F U' D L' U
R' B2 F U' D' L' U
R' B2 F U' D2 L' U
R' B2 F D U' L' U
F B2 U' B2 L' U R'
R' B2 F D' U' L' U
D' B2 F U2 L U2 B'
F B2 U2 L U L2 U
F B2 U2 L U2 D' B2
R' B2 F D2 U' L' U
F B2 U2 L D F2 U2
F B2 U2 L D' U2 B2
D' B2 F D2 B2 R' B
R' B2 F' U R U' F2
D B2 F R' B2 R' B'
R B2 F R2 U' L' U
R B2 F U' L' U R2
