B' R2 U D2 L2
B' R2 U' R2 U2
B' R2 D' F2 U
B' R2 D2 U L2
U R2 B' U B
R2 D' F2 B' U
R2 D' B' F2 U
R2 D2 B' U L2
R2 B' U D2 L2
R2 B' U' R2 U2
R2 B' D' F2 U
R2 B' D2 U L2
R2 B' D' R2 F2 R2 U
U B' D U' B2 U2 B'
F' B' U D' F2 D' L2
R2 B' D' U L D' L2
R2 B' D' U L' D' L2
R2 B' D' U L2 D' L2
B F' R2 D' F2 U R2
U' B' F R2 F' U B
R2 B' D' F D F U
R2 B' D' F D' F U
R2 B' D' F D2 F U
F' B' U F2 D' L2 F2
F' B' U F2 D' F2 L2
R2 B' D' F' D F' U
R2 B' D' F' D' F' U
R2 B' D' F' D2 F' U
F2 B' U D' F2 D' L2
F B' R2 U L D2 L2
F B' R2 U L' D2 L2
F B' R2 U L2 D2 L2
F B' R2 U D2 L2 D
F B' R2 U D2 L2 D'
F B' R2 U D2 L2 D2
U B' D' L U F2 B
U B' D' L U B F2
B2 F' U B R2 U B'
F B' R2 U' R2 U2 D
F B' R2 U' R2 U2 D'
F B' R2 U' R2 U2 D2
F B' R2 U' R2 D U2
F B' R2 U' R2 D' U2
F B' R2 U' R2 D2 U2
U B' D' L' U F2 B
U B' D' L' U B F2
F2 B' U F2 D' L2 F2
F2 B' U F2 D' F2 L2
F B' R2 U2 D B2 U'
U B' D' L2 U F2 B
U B' D' L2 U B F2
B F' R2 B2 U D2 L2
B F' R2 B2 U' R2 U2
B F' R2 B2 D' F2 U
F B' R2 D U2 B2 U'
B F' R2 B2 D2 U L2
D2 B' F U2 L2 U' L2
F B' R2 D' F2 U D
F B' R2 D' F2 U D'
F B' R2 D' F2 U D2
F B' R2 D' F2 D U
F B' R2 D' F2 D' U
F B' R2 D' F2 D2 U
F B' R2 D2 U L2 D
F B' R2 D2 U L2 D'
F B' R2 D2 U L2 D2
F B' R2 D2 F U L2
F B' R2 D2 F' U L2
F B' R2 D2 F2 U L2
F B' R2 F U D2 L2
F B' R2 F U' R2 U2
F B' R2 F D' F2 U
F B' R2 F D2 U L2
U B' D' U F2 D B
U B' D' U F2 D' B
U B' D' U F2 D2 B
U B' D' U F2 B D
U B' D' U F2 B D'
U B' D' U F2 B D2
U B' D' U B F2 D
U B' D' U B F2 D'
U B' D' U B F2 D2
F B' R2 F' U D2 L2
F B' R2 F' U' R2 U2
F B' R2 F' D' F2 U
F B' R2 F' D2 U L2
F B' R2 F2 U D2 L2
F B' R2 F2 U' R2 U2
R2 B' D2 U L D L
R2 B' D2 U L D' L
R2 B' D2 U L D2 L
R2 B' D2 U L' D L'
R2 B' D2 U L' D' L'
R2 B' D2 U L' D2 L'
F B' R2 F2 D' F2 U
F B' R2 F2 D2 U L2
R2 B' D2 U F L2 F'
R2 B' D2 U F2 L2 F2
R2 B' D2 U B' L2 B
R2 B' D2 U B2 L2 B2
R2 B' D2 U' R U2 L2
R2 B' D2 U' R' U2 L2
R2 B' D2 U' R2 U2 L2
B F' U R2 B2 U B2
R2 B' D2 U2 B U' L2
R2 B' D2 U2 B' U' L2
R2 B' D2 U2 B2 U' L2
R B' D' R D F' U
R2 B' D2 F U L2 D
R2 B' D2 F U L2 D'
R2 B' D2 F U L2 D2
R B' D' R D' F' U
R B' D' R D2 F' U
R2 B' D2 F D F2 U
R B' D' R F' U D
R B' D' R F' U D'
R B' D' R F' U D2
R B' D' R F' D U
R B' D' R F' D' U
R B' D' R F' D2 U
R2 B' D2 F' U L2 D
R2 B' D2 F' U L2 D'
R2 B' D2 F' U L2 D2
R2 B' D2 F' D F2 U
R2 B' D2 F2 U L2 D
R2 B' D2 F2 U L2 D'
R2 B' D2 F2 U L2 D2
R2 B' D2 F2 D F2 U
D2 B' F' U2 L2 U' L2
B' F' U2 D2 L2 U' L2
B F' U B2 R2 U B2
F B' U D' F2 D' L2
U B' D2 U B D F2
U B' D2 U2 L2 U' B
R2 B' F U L D2 L2
R2 B' F U L' D2 L2
R2 B' F U L2 D2 L2
F B' U F2 D' L2 F2
F B' U F2 D' F2 L2
F' B' U2 D2 L2 U' L2
R2 B' F U D2 L2 D
R2 B' F U D2 L2 D'
R2 B' F U D2 L2 D2
R2 B' F U' R2 U2 D
R2 B' F U' R2 U2 D'
R2 B' F U' R2 U2 D2
R2 B' F U' R2 D U2
R2 B' F U' R2 D' U2
R2 B' F U' R2 D2 U2
R2 B' F U2 D B2 U'
R' B' F2 U D L' F
R B' D2 R F U L'
R2 B' F D U2 B2 U'
D2 B' F2 U2 L2 U' L2
R2 B' F D' F2 U D
R2 B' F D' F2 U D'
R2 B' F D' F2 U D2
R2 B' F D' F2 D U
R2 B' F D' F2 D' U
R2 B' F D' F2 D2 U
F2 B' U2 D2 L2 U' L2
R2 B' F D2 U L2 D
R2 B' F D2 U L2 D'
R2 B' F D2 U L2 D2
R2 B' F D2 F U L2
R2 B' F D2 F' U L2
R2 B' F D2 F2 U L2
R' B' F2 D U L' F
R2 B' F' U L D2 L2
R2 B' F' U L' D2 L2
R2 B' F' U L2 D2 L2
R2 B' F' U D2 L2 D
R2 B' F' U D2 L2 D'
R2 B' F' U D2 L2 D2
R2 B' F' U' R2 U2 D
R2 B' F' U' R2 U2 D'
R2 B' F' U' R2 U2 D2
R2 B' F' U' R2 D U2
R2 B' F' U' R2 D' U2
R2 B' F' U' R2 D2 U2
R2 B' F' U2 D B2 U'
R2 B' F' D U2 B2 U'
R2 B' F' D' F2 U D
R2 B' F' D' F2 U D'
R2 B' F' D' F2 U D2
R2 B' F' D' F2 D U
R2 B' F' D' F2 D' U
R2 B' F' D' F2 D2 U
R2 B' F' D2 U L2 D
R2 B' F' D2 U L2 D'
R2 B' F' D2 U L2 D2
R2 B' F' D2 F U L2
R2 B' F' D2 F' U L2
R2 B' F' D2 F2 U L2
B' F' D' R' U F2 L'
B' F' D' U F2 D' L2
R2 B' F2 U L D2 L2
R2 B' F2 U L' D2 L2
R2 B' F2 U L2 D2 L2
R2 B' F2 U D2 L2 D
R2 B' F2 U D2 L2 D'
R2 B' F2 U D2 L2 D2
F' B' D' R' U F2 L'
R2 B' F2 U' R2 U2 D
R2 B' F2 U' R2 U2 D'
R2 B' F2 U' R2 U2 D2
R2 B' F2 U' R2 D U2
R2 B' F2 U' R2 D' U2
R2 B' F2 U' R2 D2 U2
F B' U2 D2 L2 U' L2
R2 B' F2 U2 D B2 U'
F' B' D' U F2 D' L2
R2 B' F2 D U2 B2 U'
R2 B' F2 D' F2 U D
R2 B' F2 D' F2 U D'
R2 B' F2 D' F2 U D2
R2 B' F2 D' F2 D U
R2 B' F2 D' F2 D' U
R2 B' F2 D' F2 D2 U
R2 B' F2 D2 U L2 D
R2 B' F2 D2 U L2 D'
R2 B' F2 D2 U L2 D2
R2 B' F2 D2 F U L2
R2 B' F2 D2 F' U L2
R2 B' F2 D2 F2 U L2
F2 B' D' R' U F2 L'
F2 B' D' U F2 D' L2
D B2 L U L' B U
D B2 L U B L' U
B' F' D2 U2 L2 U' L2
F' B' D2 U2 L2 U' L2
F2 B' D2 U2 L2 U' L2
D B2 L' U L B U
F B' D' R' U F2 L'
F B' D' U F2 D' L2
D B2 L2 U L2 B U
D B2 L2 U B L2 U
F B' D2 U2 L2 U' L2
U' B2 U B R2 F' U
D' B2 U B U F2 B'
D' B2 U B U B' F2
L2 B2 U L2 R2 B' U
B' F2 R' F2 R' U L'
L2 B2 U L2 B' R2 U
L2 B2 U R2 L2 B' U
B' F2 R2 U L D2 L2
B' F2 R2 U L' D2 L2
B' F2 R2 U L2 D2 L2
B' F2 R2 U D2 L2 D
B' F2 R2 U D2 L2 D'
B' F2 R2 U D2 L2 D2
B' F2 R2 U' R2 U2 D
B' F2 R2 U' R2 U2 D'
B' F2 R2 U' R2 U2 D2
B' F2 R2 U' R2 D U2
B' F2 R2 U' R2 D' U2
B' F2 R2 U' R2 D2 U2
B' F2 R2 U2 D B2 U'
D B2 U L B U B'
B' F2 R2 D U2 B2 U'
U B2 R2 U2 F' U' B2
D B2 U L' B U B'
B' F2 R2 D' F2 U D
B' F2 R2 D' F2 U D'
B' F2 R2 D' F2 U D2
B' F2 R2 D' F2 D U
B' F2 R2 D' F2 D' U
B' F2 R2 D' F2 D2 U
D B2 U L2 B U B'
B' F2 R2 D2 U L2 D
B' F2 R2 D2 U L2 D'
B' F2 R2 D2 U L2 D2
B' F2 R2 D2 F U L2
B' F2 R2 D2 F' U L2
B' F2 R2 D2 F2 U L2
B' F2 R2 F U D2 L2
B' F2 R2 F U' R2 U2
B' F2 R2 F D' F2 U
B' F2 R2 F D2 U L2
B F2 R B2 R U L
B' F2 R2 F' U D2 L2
B' F2 R2 F' U' R2 U2
B' F2 R2 F' D' F2 U
B' F2 R2 F' D2 U L2
B' F2 R2 F2 U D2 L2
B' F2 R2 F2 U' R2 U2
B' F2 R2 F2 D' F2 U
B' F2 R2 F2 D2 U L2
D B2 U D B U B'
D B2 U D' B U B'
D B2 U D2 B U B'
D B2 U B U D B'
D B2 U B U D' B'
D B2 U B U D2 B'
D B2 U B U B' D
D B2 U B U B' D'
D B2 U B U B' D2
D B2 U B D U B'
D B2 U B D' U B'
D B2 U B D2 U B'
U2 B2 U' B R2 U B'
B' F2 U D' F2 D' L2
R2 B2 U' R2 U' F' U'
B' F2 U F2 D' L2 F2
B' F2 U F2 D' F2 L2
B F2 R2 D' F2 U R2
F' B2 U B R2 U B'
B2 F2 U B R2 U B'
B F2 R2 B2 U D2 L2
B F2 R2 B2 U' R2 U2
F2 B2 U B R2 U B'
B F2 R2 B2 D' F2 U
B F2 R2 B2 D2 U L2
B F2 U R2 B2 U B2
B' F2 U2 D2 L2 U' L2
B F2 U B2 R2 U B2
D B2 D U B U B'
R2 B2 D B U2 B U'
F B2 U B R2 U B'
D B2 D' U B U B'
R2 B2 D' F2 D B U
R2 B2 D' F2 D' B U
R2 B2 D' F2 D2 B U
R2 B2 D' F2 B U D
R2 B2 D' F2 B U D'
R2 B2 D' F2 B U D2
R2 B2 D' F2 B D U
R2 B2 D' F2 B D' U
R2 B2 D' F2 B D2 U
R2 B2 D' B U D' L2
R2 B2 D' B D' U L2
R2 B2 D' B F2 U D
R2 B2 D' B F2 U D'
R2 B2 D' B F2 U D2
R2 B2 D' B F2 D U
R2 B2 D' B F2 D' U
R2 B2 D' B F2 D2 U
B' F2 D' R' U F2 L'
B' F2 D' U F2 D' L2
D B2 D2 U B U B'
R2 B2 D2 F B U L2
R2 B2 D2 F' B U L2
R2 B2 D2 F2 B U L2
R2 B2 D2 B U L2 D
R2 B2 D2 B U L2 D'
R2 B2 D2 B U L2 D2
R2 B2 D2 B D F2 U
R2 B2 D2 B F U L2
R2 B2 D2 B F' U L2
R2 B2 D2 B F2 U L2
B' F2 D2 U2 L2 U' L2
D B2 F U B U B'
R2 B2 F D' F2 B U
R2 B2 F D' B F2 U
R2 B2 F D2 B U L2
D B2 F' U B U B'
R2 B2 F' D' F2 B U
R2 B2 F' D' B F2 U
R2 B2 F' D2 B U L2
D B2 F2 U B U B'
R2 B2 F2 D' F2 B U
R2 B2 F2 D' B F2 U
R2 B2 F2 D2 B U L2
