L2 R' B' R' B
R' L2 B' R' B
B2 L2 R2 B R'
B' L2 R2 B R
R2 L2 B' R' B2
L2 R2 B' R' B2
F2 L2 F2 B' R'
F2 L2 B' R' F2
F2 L2 B' F2 R'
B' R2 L2 B R
L2 U2 F' L' U2
B2 R2 L2 B R'
B' R2 B L2 R
B' R2 B R L2
B2 R2 B L2 R'
B2 R2 B R' L2
F' U2 F L2 R
F' U2 F R L2
U2 F' L' U2 L'
R' B' L2 R' B
R' B' R' L2 B
R' B' R' B L2
R2 B' L2 R' B2
R2 B' R' L2 B2
R2 B' R' B2 L2
L2 B' R2 B R
L2 B2 R2 B R'
L2 D R2 B U2 L U2
L2 D R2 B' R B2 R2
L2 D R2 B' R' B2 D
L2 D R2 B' R' B2 D'
L2 D R2 B' R' B2 D2
L2 D R2 B' R2 B2 R
B R2 B' L2 B' R' B'
F R2 B F2 L U2 L
D R2 B' R' B2 D' L2
B' R2 B2 R B L2 B2
B' R2 B2 R B' L2 D
B' R2 B2 R B' L2 D'
B' R2 B2 R B' L2 D2
B' R2 B2 R B2 L2 B
B' R2 B2 R' B' L2 R2
B' R2 B2 R' B' R2 L2
B2 R2 B2 R B' L2 R'
B2 R2 B2 R B' R' L2
B2 R2 B2 R' B' L2 R'
B2 R2 B2 R' B' R' L2
B2 R2 B2 R2 B' L2 R'
B2 R2 B2 R2 B' R' L2
B R2 B2 R B' L2 R2
B R2 B2 R B' R2 L2
B R2 B2 R' B L2 B2
B R2 B2 R' B' L2 D
B R2 B2 R' B' L2 D'
B R2 B2 R' B' L2 D2
B R2 B2 R' B2 L2 B
B R2 B2 R2 B' L2 R
B R2 B2 R2 B' R L2
L2 D U2 L F' L' U2
L2 D U2 L' F' L' U2
L2 D U2 L2 F' L' U2
L2 D U2 F' L' U2 D
L2 D U2 F' L' U2 D'
L2 D U2 F' L' U2 D2
L2 D U2 F' L' D U2
L2 D U2 F' L' D' U2
L2 D U2 F' L' D2 U2
L2 D U2 F' D L' U2
L2 D U2 F' D' L' U2
L2 D U2 F' D2 L' U2
L D U2 F' L' U2 L2
L' D F' U2 F L' R
L' D F' U2 F R L'
F' U R B U F L2
L D F' U2 F L R
L D F' U2 F R L
L' D B L' D2 R2 B
L2 D B R' B2 R' B
L2 D B R2 B2 R' B'
L' D B' L' R2 B R
L2 D B U2 L F' U2
L2 D B U2 F' L U2
B' U R2 U' L2 B R
B' U R2 U' B L2 R
B' U R2 U' B R L2
L' D B' R2 L' B R
L' D B' R2 B L' R
L' D B' R2 B R L'
B2 U R2 U' L2 B R'
B2 U R2 U' B L2 R'
B2 U R2 U' B R' L2
L2 D B' R2 D B R
L2 D B' R2 D' B R
L2 D B' R2 D2 B R
L2 D B' R2 B R D
L2 D B' R2 B R D'
L2 D B' R2 B R D2
L2 D B' R2 B D R
L2 D B' R2 B D' R
L2 D B' R2 B D2 R
L2 D B' R2 B' R B2
L2 D B' R2 B2 R B'
R2 D B' R' B2 D' L2
L' D B2 L' R2 B R'
L2 D B' U2 F' U2 R'
L2 D B' D R2 B R
L2 D B' D' R2 B R
L2 D B' D2 R2 B R
L' D B2 R2 L' B R'
L' D B2 R2 B L' R'
L' D B2 R2 B R' L'
L D B' R2 B L R
L D B' R2 B R L
L2 D B2 R' B R' B
L2 D B2 R2 B R' D
L2 D B2 R2 B R' D'
L2 D B2 R2 B R' D2
L2 D B2 R2 B D R'
L2 D B2 R2 B D' R'
L2 D B2 R2 B D2 R'
U2 D F' L' U F' U
L' D' L' R' B' R' B
L' D' L' R2 B' R' B2
L' D' L' U2 F' L' U2
U' D F2 U' F U2 R
L D' L R' B' R' B
L D' L R2 B' R' B2
L D' L U2 F' L' U2
L' D' L' B' R2 B R
L' D' L' B2 R2 B R'
L D' L B' R2 B R
L D' L B2 R2 B R'
B' U F2 U' L2 R' B'
B' U F2 U' R' L2 B'
L' D' R' L' B' R' B
D' U B2 U F' L' U2
L2 D' R B' R B R2
L2 D' R B2 R B R'
L' D' R' B' L' R' B
L' D' R' B' R' L' B
L' D' R' B' R' B L'
F' U B U F L2 R
F' U B U F R L2
L' D' R2 L' B' R' B2
L D' R' L B' R' B
L2 D' R' B' R' D B
L2 D' R' B' R' D' B
L2 D' R' B' R' D2 B
L2 D' R' B' R' B D
L2 D' R' B' R' B D'
L2 D' R' B' R' B D2
L2 D' R' B2 R' B R'
L' D' R2 B L' D2 R2
L' D' R2 B' L' R' B2
L' D' R2 B' R' L' B2
L' D' R2 B' R' B2 L'
L D' R' D2 L B' R'
F' U B' U F L2 R
F' U B' U F R L2
L2 D' R2 D B' R' B2
L2 D' R2 D' B' R' B2
L2 D' R2 D2 B' R' B2
L D' R' B' R' B L
L2 D' R2 B U2 L U2
L D' R2 L B' R' B2
L2 D' R2 B' R B2 R2
L2 D' R2 B' R' B2 D
L2 D' R2 B' R' B2 D'
L2 D' R2 B' R' B2 D2
L2 D' R2 B' R2 B2 R
F' U B2 U F L2 R
F' U B2 U F R L2
R2 D' U B2 U' B' R'
L2 D' U2 L F' L' U2
L2 D' U2 L' F' L' U2
L2 D' U2 L2 F' L' U2
L2 D' U2 F' L' U2 D
L2 D' U2 F' L' U2 D'
L2 D' U2 F' L' U2 D2
L2 D' U2 F' L' D U2
L2 D' U2 F' L' D' U2
L2 D' U2 F' L' D2 U2
L2 D' U2 F' D L' U2
L2 D' U2 F' D' L' U2
L2 D' U2 F' D2 L' U2
L D' U2 F' L' U2 L2
L' D' F' U2 F L' R
L' D' F' U2 F R L'
L D' F' U2 F L R
L D' F' U2 F R L
L' D' B L' D2 R2 B
L2 D' B R' B2 R' B
L2 D' B R2 B2 R' B'
L2 D' B U2 L F' U2
L' D' B' L' R2 B R
U2 D' F' L' U' B2 U'
U2 D' F' L' U2 D L2
U2 D' F' L' D U2 L2
L2 D' B U2 F' L U2
U2 D' F' L' D' R2 U2
L' D' B' R2 L' B R
L' D' B' R2 B L' R
L' D' B' R2 B R L'
U2 D' F' D L' U2 L'
U2 D' F' D' L' R2 U2
U2 D' F' D' R2 L' U2
L2 D' B' R2 D B R
L2 D' B' R2 D' B R
L2 D' B' R2 D2 B R
L2 D' B' R2 B R D
L2 D' B' R2 B R D'
L2 D' B' R2 B R D2
L2 D' B' R2 B D R
L2 D' B' R2 B D' R
L2 D' B' R2 B D2 R
L2 D' B' R2 B' R B2
L2 D' B' R2 B2 R B'
L' D' B2 L' R2 B R'
L2 D' B' U2 F' U2 R'
L2 D' B' D R2 B R
L2 D' B' D' R2 B R
L2 D' B' D2 R2 B R
L' D' B2 R2 L' B R'
L' D' B2 R2 B L' R'
L' D' B2 R2 B R' L'
L2 D' B2 R' B R' B
L D' B' R2 B L R
L D' B' R2 B R L
L2 D' B2 R2 B R' D
L2 D' B2 R2 B R' D'
L2 D' B2 R2 B R' D2
L2 D' B2 R2 B D R'
L2 D' B2 R2 B D' R'
L2 D' B2 R2 B D2 R'
D U' F2 U' F U2 R
R' D2 L D2 B' L2 R'
R' D2 L D2 B' R' L2
R' D2 L B' D2 L2 R'
R' D2 L B' D2 R' L2
F' U' D' B2 U' F R
L' D2 L' R' B' R' B
L' D2 L' R2 B' R' B2
R' D2 L' D2 L2 B' R'
L' D2 L' U2 F' L' U2
L D2 L R' B' R' B
R2 D2 L B' R' B2 L
L D2 L R2 B' R' B2
L D2 L U2 F' L' U2
L' D2 L' B' R2 B R
L' D2 L' B2 R2 B R'
L D2 L B' R2 B R
L D2 L B2 R2 B R'
R2 D2 L' B' R' B2 L
D2 U2 L F' L' R2 U2
D2 U2 L F' R2 L' U2
U D' B2 U F' L' U2
U2 D2 L F' L' R2 U2
R2 D2 L2 B' R' B2 L
U2 D2 L F' R2 L' U2
B' U' F2 U L2 R' B'
B' U' F2 U R' L2 B'
D2 U2 L' F' L' R2 U2
D2 U2 L' F' R2 L' U2
L' D2 R' L' B' R' B
L2 D2 R B' R B R2
L2 D2 R B2 R B R'
U2 D2 L' F' L' R2 U2
U2 D2 L' F' R2 L' U2
L' D2 R' B' L' R' B
L' D2 R' B' R' L' B
L' D2 R' B' R' B L'
D2 U2 L2 F' L' R2 U2
F' U' B U' F L2 R
F' U' B U' F R L2
D2 U2 L2 F' R2 L' U2
L' D2 R2 L' B' R' B2
L2 D2 R' B' R' D B
L2 D2 R' B' R' D' B
L2 D2 R' B' R' D2 B
L2 D2 R' B' R' B D
L2 D2 R' B' R' B D'
L2 D2 R' B' R' B D2
L2 D2 R' B2 R' B R'
L D2 R' L B' R' B
U2 D2 L2 F' L' R2 U2
U2 D2 L2 F' R2 L' U2
L' D2 R2 B L' D2 R2
L' D2 R2 B' L' R' B2
L' D2 R2 B' R' L' B2
L' D2 R2 B' R' B2 L'
L2 D2 R2 D B' R' B2
L2 D2 R2 D' B' R' B2
L D2 R' D2 L B' R'
F' U' B' U' F L2 R
F' U' B' U' F R L2
L2 D2 R2 D2 B' R' B2
L2 D2 R2 B U2 L U2
L2 D2 R2 B' R B2 R2
L D2 R' B' R' B L
L2 D2 R2 B' R' B2 D
L2 D2 R2 B' R' B2 D'
L2 D2 R2 B' R' B2 D2
L2 D2 R2 B' R2 B2 R
R2 D2 R2 F' U2 F R
L D2 R2 L B' R' B2
F' U' B2 U' F L2 R
F' U' B2 U' F R L2
D2 U2 R2 U2 B' R' B2
D2 U2 R2 F U2 B R
D2 U2 R2 F' L' U2 B
B' U2 L F' U2 L R'
B' U2 L F' U2 R' L
L2 D2 U2 L F' L' U2
L2 D2 U2 L' F' L' U2
U2 D2 R2 U2 B' R' B2
L2 D2 U2 L2 F' L' U2
U2 D2 R2 F U2 B R
U2 D2 R2 F' L' U2 B
L2 D2 U2 F' L' U2 D
L2 D2 U2 F' L' U2 D'
L2 D2 U2 F' L' U2 D2
L2 D2 U2 F' L' D U2
L2 D2 U2 F' L' D' U2
L2 D2 U2 F' L' D2 U2
B U2 L R2 U2 L B
L2 D2 U2 F' D L' U2
L2 D2 U2 F' D' L' U2
L2 D2 U2 F' D2 L' U2
D2 U2 F R2 F2 U2 R'
R2 D2 U2 R2 F' L' U2
B U2 L D F' U2 L
B U2 L D' F' U2 L
B U2 L D2 F' U2 L
B U2 L F' R U2 L
B U2 L F' R' U2 L
B U2 L F' R2 U2 L
B U2 L F' U2 L D
B U2 L F' U2 L D'
B U2 L F' U2 L D2
B U2 L F' U2 D L
B U2 L F' U2 D' L
B U2 L F' U2 D2 L
D' U2 F' L' U' B2 U'
B U2 L F' D U2 L
D' U2 F' L' U2 D L2
B U2 L F' D' U2 L
D' U2 F' L' D U2 L2
D' U2 F' L' D' R2 U2
B U2 L F' D2 U2 L
U2 D2 F R2 F2 U2 R'
D2 U2 F' L' R2 U2 D
D2 U2 F' L' R2 U2 D'
D2 U2 F' L' R2 U2 D2
D2 U2 F' L' R2 D U2
D2 U2 F' L' R2 D' U2
D2 U2 F' L' R2 D2 U2
D2 U2 F' L' U2 D2 L2
D2 U2 F' L' D2 U2 L2
D2 U2 F' R2 L' U2 D
D2 U2 F' R2 L' U2 D'
D2 U2 F' R2 L' U2 D2
D2 U2 F' R2 L' D U2
D2 U2 F' R2 L' D' U2
D2 U2 F' R2 L' D2 U2
D2 U2 F' R2 D L' U2
L D2 U2 F' L' U2 L2
D2 U2 F' R2 D' L' U2
D2 U2 F' R2 D2 L' U2
D' U2 F' D L' U2 L'
D' U2 F' D' L' R2 U2
D' U2 F' D' R2 L' U2
F' U2 L2 U2 B' U2 R'
U2 D2 F' L' R2 U2 D
U2 D2 F' L' R2 U2 D'
U2 D2 F' L' R2 U2 D2
U2 D2 F' L' R2 D U2
U2 D2 F' L' R2 D' U2
U2 D2 F' L' R2 D2 U2
U2 D2 F' L' U2 D2 L2
L' D2 F' U2 F L' R
L' D2 F' U2 F R L'
U2 D2 F' L' D2 U2 L2
D2 U2 F' D2 L' U2 L'
U2 D2 F' R2 L' U2 D
U2 D2 F' R2 L' U2 D'
U2 D2 F' R2 L' U2 D2
U2 D2 F' R2 L' D U2
U2 D2 F' R2 L' D' U2
U2 D2 F' R2 L' D2 U2
U2 D2 F' R2 D L' U2
U2 D2 F' R2 D' L' U2
U2 D2 F' R2 D2 L' U2
F2 U2 L2 F R F B'
F2 U2 L2 F R B' F
F2 U2 L2 F B' R F
D U2 F' L' U F' U
D2 U2 F2 R2 F L' U2
F2 U2 L2 B' F R F
U2 D2 F' D2 L' U2 L'
F' U2 R F L2 R D
F' U2 R F L2 R D'
F' U2 R F L2 R D2
F' U2 R F L2 D R
F' U2 R F L2 D' R
F' U2 R F L2 D2 R
F' U2 R F R L2 D
F' U2 R F R L2 D'
F' U2 R F R L2 D2
F' U2 R F2 L2 F' R
U2 D2 F2 R2 F L' U2
L' D2 B L' D2 R2 B
L D2 F' U2 F L R
L D2 F' U2 F R L
F' U2 R' F L2 R D
F' U2 R' F L2 R D'
F' U2 R' F L2 R D2
F' U2 R' F L2 D R
F' U2 R' F L2 D' R
F' U2 R' F L2 D2 R
F' U2 R' F R L2 D
F' U2 R' F R L2 D'
F' U2 R' F R L2 D2
F' U2 R' F2 L2 F' R
L2 D2 B R' B2 R' B
R2 D2 B L' D2 L2 R2
R2 D2 B L' D2 R2 L2
L2 D2 B R2 B2 R' B'
L' D2 B' L' R2 B R
R' D2 B' R' B2 L B'
L2 D2 B U2 L F' U2
L2 D2 B U2 F' L U2
B' U2 R2 U2 L2 B R
B' U2 R2 U2 B L2 R
B' U2 R2 U2 B R L2
L' D2 B' R2 L' B R
L' D2 B' R2 B L' R
R2 D2 B U2 L R2 U2
L' D2 B' R2 B R L'
R2 D2 B U2 R2 L U2
R' D2 B' D2 L2 R' B
R' D2 B' D2 R' L2 B
B2 U2 R2 U2 L2 B R'
R' D2 B' D2 R' B L2
B2 U2 R2 U2 B L2 R'
B2 U2 R2 U2 B R' L2
F' U2 R2 F L2 R D
F' U2 R2 F L2 R D'
F' U2 R2 F L2 R D2
F' U2 R2 F L2 D R
F' U2 R2 F L2 D' R
F' U2 R2 F L2 D2 R
F' U2 R2 F R L2 D
F' U2 R2 F R L2 D'
F' U2 R2 F R L2 D2
B' U2 R2 B L2 R F
B' U2 R2 B R L2 F
F' U2 R2 F2 L2 F' R
R2 D2 B' L R' B2 L
R2 D2 B' L' R' B2 L
L2 D2 B' R2 D B R
L2 D2 B' R2 D' B R
L2 D2 B' R2 D2 B R
L2 D2 B' R2 B R D
L2 D2 B' R2 B R D'
L2 D2 B' R2 B R D2
L2 D2 B' R2 B D R
L2 D2 B' R2 B D' R
L2 D2 B' R2 B D2 R
L2 D2 B' R2 B' R B2
L2 D2 B' R2 B2 R B'
R2 D2 B' L2 R' B2 L
B2 U2 R2 B L2 R' F
B2 U2 R2 B L2 F R'
B2 U2 R2 B R' L2 F
L' D2 B2 L' R2 B R'
R2 D2 B' R' L B2 L
R2 D2 B' R' L' B2 L
R2 D2 B' R' L2 B2 L
B U2 R2 L U2 L B
L2 D2 B' U2 F' U2 R'
R2 D2 B' R' B2 L D
R2 D2 B' R' B2 L D'
R2 D2 B' R' B2 L D2
R2 D2 B' R' B2 D L
R2 D2 B' R' B2 D' L
R2 D2 B' R' B2 D2 L
L2 D2 B' D R2 B R
L2 D2 B' D' R2 B R
L2 D2 B' D2 R2 B R
L' D2 B2 R2 L' B R'
L' D2 B2 R2 B L' R'
L' D2 B2 R2 B R' L'
L2 D2 B2 R' B R' B
L2 D2 B2 R2 B R' D
L2 D2 B2 R2 B R' D'
L2 D2 B2 R2 B R' D2
L2 D2 B2 R2 B D R'
L2 D2 B2 R2 B D' R'
L2 D2 B2 R2 B D2 R'
L D2 B' R2 B L R
L D2 B' R2 B R L
F' U2 D' F R D L2
F' U2 D' F D L2 R
F' U2 D' F D R L2
B' U2 D2 R2 U2 B R
B' U2 D2 F' R2 U2 R
F' U2 D2 F D2 L2 R
F' U2 D2 F D2 R L2
U2 F L F2 L' U2 L2
B2 U2 D2 F' R2 U2 R'
F' U2 F L R D L
F' U2 F L R D' L
F' U2 F L R D2 L
F' U2 F L D L R
F' U2 F L D R L
F' U2 F L D' L R
F' U2 F L D' R L
F' U2 F L D2 L R
F' U2 F L D2 R L
F' U2 F L' R D L'
F' U2 F L' R D' L'
F' U2 F L' R D2 L'
F' U2 F L' D L' R
F' U2 F L' D R L'
F' U2 F L' D' L' R
F' U2 F L' D' R L'
F' U2 F L' D2 L' R
F' U2 F L' D2 R L'
F' U2 F L2 R2 D R'
F' U2 F L2 R2 D' R'
F' U2 F L2 R2 D2 R'
F' U2 F L2 D R D
F' U2 F L2 D R D'
F' U2 F L2 D R D2
F' U2 F L2 D' R D
F' U2 F L2 D' R D'
F' U2 F L2 D' R D2
F' U2 F L2 D2 R D
F' U2 F L2 D2 R D'
F' U2 F L2 D2 R D2
F' U2 F L2 B R B'
F' U2 F L2 B2 R B2
F' U2 F R L D L
F' U2 F R L D' L
F' U2 F R L D2 L
F' U2 F R L' D L'
F' U2 F R L' D' L'
F' U2 F R L' D2 L'
B U2 D2 L R2 U2 B
F' U2 F R F L2 F'
F' U2 F R F2 L2 F2
B U2 D2 L F' R2 U2
F' U2 F R B' L2 B
F' U2 F R B2 L2 B2
F' U2 F R2 L2 D R'
F' U2 F R2 L2 D' R'
F' U2 F R2 L2 D2 R'
B U2 D2 R2 L U2 B
F' U2 F D R D' L2
U2 F L' F2 L' R U2
U2 F L' F2 R L' U2
B U2 D2 F' L R2 U2
F' U2 F D' R D L2
B U2 D2 F' R2 L U2
B' U2 F' L U2 L R'
B' U2 F' L U2 R' L
F2 U2 F U2 R F L2
F' U2 F B R B' L2
R' F L2 F' B' R' B
B' U2 F' L' U2 L' R'
B' U2 F' L' U2 R' L'
F' U2 F B' L2 B R
F' U2 F B2 L2 R B2
F' U2 F B2 L2 B2 R
F' U2 F B2 R L2 B2
F' U2 F B2 R B2 L2
B' U2 F' R U2 L2 R2
B' U2 F' R U2 R2 L2
R' F L2 B' F' R' B
B U2 F L F2 U2 L
B' U2 F' R2 U2 L2 R
B' U2 F' R2 U2 R L2
F' U2 F' R F2 L2 R
F' U2 F' R F2 R L2
F' U2 F' R' F2 L2 R
F' U2 F' R' F2 R L2
B' U2 F' U2 L2 R' D
B' U2 F' U2 L2 R' D'
B' U2 F' U2 L2 R' D2
B' U2 F' U2 L2 D R'
B' U2 F' U2 L2 D' R'
B' U2 F' U2 L2 D2 R'
B' U2 F' U2 R' L2 D
B' U2 F' U2 R' L2 D'
B' U2 F' U2 R' L2 D2
F' U2 F' R2 F2 L2 R
F' U2 F' R2 F2 R L2
F U2 F L2 R F2 B'
F U2 F L2 R B' F2
B' U2 F' D2 R2 U2 R
F U2 F L2 B' R F2
F U2 F R L2 F2 B'
F U2 F R L2 B' F2
U2 F L2 F2 L' U2 L
R2 F L2 F' B' R' B2
B U2 F' L R U2 L
B U2 F' L R' U2 L
F' U2 F2 L F' L R
F' U2 F2 L F' R L
B U2 F' L R2 U2 L
B U2 F' L U2 L D
B U2 F' L U2 L D'
B U2 F' L U2 L D2
B U2 F' L U2 D L
B U2 F' L U2 D' L
B U2 F' L U2 D2 L
B U2 F' L D U2 L
B U2 F' L D' U2 L
B U2 F' L D2 U2 L
F' U2 F2 L2 F' R D
F' U2 F2 L2 F' R D'
F' U2 F2 L2 F' R D2
F' U2 F2 L2 F' D R
F' U2 F2 L2 F' D' R
F' U2 F2 L2 F' D2 R
R2 F L2 B' F' R' B2
B U2 F' R L U2 L
B U2 F' R' L U2 L
B' U2 F2 U2 L2 R' B'
B' U2 F2 U2 R' L2 B'
B U2 F' R2 L U2 L
B U2 F' D2 L R2 U2
B U2 F' D2 R2 L U2
B U2 F2 L U2 L B'
U2 F R' F2 U2 L2 R2
U2 F R' F2 U2 R2 L2
F' U2 B F R B' L2
D2 F R2 F2 B L U2
D2 F R2 B L F2 U2
D2 F R2 B F2 L U2
U2 F R2 F2 U2 L2 R'
U2 F R2 F2 U2 R' L2
F' U2 B' F L2 B R
F' U2 B2 F L2 R B2
F' U2 B2 F L2 B2 R
F' U2 B2 F R L2 B2
F' U2 B2 F R B2 L2
U2 F U2 L2 R D2 B2
U2 F U2 L2 D2 R B2
U2 F U2 L2 D2 B2 R
U2 F U2 R L2 D2 B2
U2 F D2 R2 U2 R' B2
L2 F D2 F' B' R' B'
L2 F D2 B' F' R' B'
L2 F D2 B2 D2 F' R
B' D R2 D' L2 B R
R' F B' L2 F' R' B
B' D R2 D' B L2 R
B' D R2 D' B R L2
B' D R2 B R D' L2
R2 F B L2 F2 R F
B' D R2 B D' L2 R
B' D R2 B D' R L2
B2 D R2 D' L2 B R'
B2 D R2 D' B L2 R'
B2 D R2 D' B R' L2
L2 F B D2 F' B2 R'
L2 F B D2 B2 F' R'
R2 F B' L2 F' R' B2
L2 F B' D2 F' R' B2
L2 F B2 D2 F' R B2
L2 F B2 D2 F' B2 R
L2 F B2 D2 B2 F' R
L2 F' L U2 L' F R
U2 F' L U2 D2 L R2
U2 F' L U2 D2 R2 L
U2 F' L D2 U2 L R2
U2 F' L D2 U2 R2 L
U2 F' L' R U2 L' D
U2 F' L' R U2 L' D'
U2 F' L' R U2 L' D2
U2 F' L' R U2 D L'
U2 F' L' R U2 D' L'
U2 F' L' R U2 D2 L'
U2 F' L' R D U2 L'
U2 F' L' R D' U2 L'
U2 F' L' R D2 U2 L'
U2 F' L' R' U2 L' D
U2 F' L' R' U2 L' D'
U2 F' L' R' U2 L' D2
U2 F' L' R' U2 D L'
U2 F' L' R' U2 D' L'
U2 F' L' R' U2 D2 L'
U2 F' L' R' D U2 L'
U2 F' L' R' D' U2 L'
U2 F' L' R' D2 U2 L'
U2 F' L' R2 U2 L' D
U2 F' L' R2 U2 L' D'
U2 F' L' R2 U2 L' D2
U2 F' L' R2 U2 D L'
U2 F' L' R2 U2 D' L'
U2 F' L' R2 U2 D2 L'
U2 F' L' R2 D U2 L'
U2 F' L' R2 D' U2 L'
U2 F' L' R2 D2 U2 L'
U2 F' L' U' B U' L'
U2 F' L' U' B' U' L'
U2 F' L' U' B2 U' L'
U2 F' L' U2 L2 D L
U2 F' L' U2 L2 D' L
U2 F' L' U2 L2 D2 L
U2 F' L' U2 D L' D
U2 F' L' U2 D L' D'
U2 F' L' U2 D L' D2
U2 F' L' U2 D' L' D
U2 F' L' U2 D' L' D'
U2 F' L' U2 D' L' D2
U2 F' L' U2 D2 L' D
U2 F' L' U2 D2 L' D'
U2 F' L' U2 D2 L' D2
U2 F' L' U2 B' L' B
U2 F' L' U2 B2 L' B2
U2 F' L' D R U2 L'
U2 F' L' D R' U2 L'
U2 F' L' D R2 U2 L'
D2 F' L2 R2 B' U2 R'
U2 F' L' D U2 L' D
U2 F' L' D U2 L' D'
U2 F' L' D U2 L' D2
U2 F' L' D' R U2 L'
U2 F' L' D' R' U2 L'
U2 F' L' D' R2 U2 L'
U2 F' L' D' U2 L' D
U2 F' L' D' U2 L' D'
U2 F' L' D' U2 L' D2
U2 F' L' D2 R U2 L'
U2 F' L' D2 R' U2 L'
U2 F' L' D2 R2 U2 L'
U2 F' L' D2 U2 L' D
U2 F' L' D2 U2 L' D'
U2 F' L' D2 U2 L' D2
U2 F' L' F2 R F2 U2
D2 F' L2 B' R2 U2 R
L2 F' L2 U2 L2 F R
U2 F' L2 D L U2 L'
U2 F' L2 D' L U2 L'
U2 F' L2 D2 L U2 L'
L' F' R U2 F L' R
L' F' R U2 F R L'
L2 F' L2 B' U2 L2 R'
L2 F' L2 B' U2 R' L2
U2 F' R L' U2 L' D
U2 F' R L' U2 L' D'
U2 F' R L' U2 L' D2
U2 F' R L' U2 D L'
U2 F' R L' U2 D' L'
U2 F' R L' U2 D2 L'
U2 F' R L' D U2 L'
U2 F' R L' D' U2 L'
U2 F' R L' D2 U2 L'
U2 F' R D2 L' R2 U2
U2 F' R D2 R2 L' U2
L' F' R' U2 F L' R
L' F' R' U2 F R L'
U2 F' R' L' U2 L' D
U2 F' R' L' U2 L' D'
U2 F' R' L' U2 L' D2
U2 F' R' L' U2 D L'
U2 F' R' L' U2 D' L'
U2 F' R' L' U2 D2 L'
U2 F' R' L' D U2 L'
U2 F' R' L' D' U2 L'
L F' L2 B' U2 L' R'
U2 F' R' L' D2 U2 L'
L F' L2 B' U2 R' L'
D2 F' R2 L2 B' U2 R'
U2 F' R' D2 L' R2 U2
U2 F' R' D2 R2 L' U2
L F' R U2 F L R
L F' R U2 F R L
D2 F' R2 U2 R F R
D2 F' R2 U2 R' F R
D2 F' R2 U2 R2 F R
D2 F' R2 U2 D F R
D2 F' R2 U2 D' F R
D2 F' R2 U2 D2 F R
D2 F' R2 U2 F R D
D2 F' R2 U2 F R D'
D2 F' R2 U2 F R D2
D2 F' R2 U2 F D R
D2 F' R2 U2 F D' R
D2 F' R2 U2 F D2 R
D2 F' R2 D U2 F R
D2 F' R2 D' U2 F R
L' F' R2 U2 F L' R
L' F' R2 U2 F R L'
D2 F' R2 D2 U2 F R
U2 F' R2 L' U2 L' D
U2 F' R2 L' U2 L' D'
U2 F' R2 L' U2 L' D2
U2 F' R2 L' U2 D L'
U2 F' R2 L' U2 D' L'
U2 F' R2 L' U2 D2 L'
U2 F' R2 L' D U2 L'
U2 F' R2 L' D' U2 L'
U2 F' R2 L' D2 U2 L'
D2 F' R2 B' U2 R' F
D2 F' R2 B' U2 F R'
U2 F' R2 D2 L' R2 U2
L F' R' U2 F L R
L F' R' U2 F R L
U2 F' R2 D2 R2 L' U2
U F' R' F' U' L2 B'
U2 F' U D F2 U R
L F' R2 U2 F L R
L F' R2 U2 F R L
U2 F' U F2 U L2 R
U2 F' U F2 U R L2
D' F' U' B2 U' F R
L' F' U2 R F L' R
L' F' U2 R F R L'
D' F' U2 D F L2 R
D' F' U2 D F R L2
L' F' U2 R' F L' R
L' F' U2 R' F R L'
U2 F' U' F2 U' L2 R
U2 F' U' F2 U' R L2
D2 F' U2 D2 F L2 R
D2 F' U2 D2 F R L2
L' F' U2 R2 F L' R
L' F' U2 R2 F R L'
D' F' U2 F R D L2
D2 F' U2 F D2 L2 R
D2 F' U2 F D2 R L2
D' F' U2 F D L2 R
D' F' U2 F D R L2
L' F' U2 F L' R D
L' F' U2 F L' R D'
L' F' U2 F L' R D2
L' F' U2 F L' D R
L' F' U2 F L' D' R
L' F' U2 F L' D2 R
L' F' U2 F R L' D
L' F' U2 F R L' D'
L' F' U2 F R L' D2
L' F' U2 F R D L'
L' F' U2 F R D' L'
L' F' U2 F R D2 L'
U2 F' U2 L D2 L R2
U2 F' U2 L D2 R2 L
L' F' U2 F D L' R
L' F' U2 F D R L'
L' F' U2 F D' L' R
L' F' U2 F D' R L'
L' F' U2 F D2 L' R
L' F' U2 F D2 R L'
U2 F' U2 L2 U2 L U2
U2 F' U2 L2 B2 R' B2
U2 F' U2 F2 L2 R F2
U2 F' U2 F2 R L2 F2
U2 F' U2 F2 R F2 L2
D' F' D U2 F L2 R
D' F' D U2 F R L2
U2 F' U2 B2 L2 B2 R'
R2 F' U2 F L2 B R
R2 F' U2 F B L2 R
R2 F' U2 F B R L2
U2 F' D L' U F2 U
U2 F' D L' U2 D' L2
U2 F' D L' D R2 U2
U2 F' D L' D' U2 L2
D F' U2 F R D' L2
R2 F' U2 B F L2 R
R2 F' U2 B F R L2
D F' U2 F D' L2 R
D F' U2 F D' R L2
L F' U2 R F L R
L F' U2 R F R L
U2 F' D U F2 U R
L F' U2 R' F L R
L F' U2 R' F R L
L F' U2 R2 F L R
L F' U2 R2 F R L
D' F' D' R2 U2 F R
L F' U2 D F L R
L F' U2 D F R L
L F' U2 D' F L R
L F' U2 D' F R L
L F' U2 D2 F L R
L F' U2 D2 F R L
L F' U2 F L R D
L F' U2 F L R D'
L F' U2 F L R D2
L F' U2 F L D R
L F' U2 F L D' R
L F' U2 F L D2 R
L F' U2 F R L D
