U' L2 U' R2 B
U2 R2 D F2 B
U2 R2 D B F2
U2 R2 B D F2
F' U' L2 U' R2
F' U2 R2 D F2
B2 F' D2 L2 D' U2 F2
D2 B2 L2 D F' B2 U2
D2 B2 L2 D B2 F' U2
D2 B2 L2 D' F' U2 F'
D' B2 L2 U2 D R2 B
D' B2 L2 D U2 R2 B
D' B2 L2 D F' U2 R2
D' B2 L2 D' L2 F' U2
U' B2 L2 B2 U' R2 B
D' B2 L2 D' F' L2 U2
D2 B2 L2 F' U R2 U
D2 B2 L2 F' U2 D' F2
D2 B2 L2 F' D B2 U2
D2 B2 L2 F' D' U2 F2
D' B2 L2 F' U' F' U'
B F' D' B2 U' F2 U'
B F' D' B2 U2 D R2
B F' D' B2 D U2 R2
B F' D' B2 D' L2 U2
F' B2 L U' L U' R2
U2 B2 L2 U' L2 R2 B
U2 B2 L2 U' R2 L2 B
U2 B2 L2 U' R2 B L2
B F' D2 L2 U R2 U
B F' D2 L2 U2 D' F2
B F' D2 L2 D B2 U2
B F' D2 L2 D' U2 F2
F' B2 L' U' L' U' R2
U2 B2 R D R F2 B
U2 B2 R D R B F2
U' B2 R2 D L2 F2 B
U' B2 R2 D L2 B F2
U' B2 R2 D F2 L2 B
U' B2 R2 D F2 B L2
U' B2 R2 D B L2 F2
U' B2 R2 D B F2 L2
F' B2 L2 U2 R2 D' F2
U2 B2 R2 U L2 U' B
R B2 R D L F2 B
R B2 R D L B F2
R B2 R D F2 L B
U2 B2 R2 D F2 D B
U2 B2 R2 D F2 D' B
U2 B2 R2 D F2 D2 B
U2 B2 R2 D F2 B D
U2 B2 R2 D F2 B D'
U2 B2 R2 D F2 B D2
U2 B2 R2 D B F2 D
U2 B2 R2 D B F2 D'
U2 B2 R2 D B F2 D2
U2 B2 R2 D2 B D' F2
U2 B2 R2 F D F2 B
U2 B2 R2 F D B F2
U2 B2 R2 F B D F2
U2 B2 R2 F' D F2 B
U2 B2 R2 F' D B F2
U2 B2 R2 F' B D F2
U2 B2 R2 F2 D F2 B
U2 B2 R2 F2 D B F2
U2 B2 R2 F2 B D F2
U2 B2 R2 B U L2 U'
U2 B2 R2 B D F2 D
U2 B2 R2 B D F2 D'
U2 B2 R2 B D F2 D2
U2 B2 R2 B F D F2
U2 B2 R2 B F' D F2
U2 B2 R2 B F2 D F2
U2 B2 R2 B2 D F2 B'
U2 B2 R2 B2 D B' F2
U2 B2 U L2 U' R2 B
L' B2 U' L' U' R2 B
D' B2 U' R2 F2 U' B
D' B2 U' F2 U F U2
D B2 U F2 D' L2 B'
D' B2 U2 R2 D B R2
D' B2 U2 R2 B D R2
D' B2 U2 D R2 D B
D' B2 U2 D R2 D' B
D' B2 U2 D R2 D2 B
D' B2 U2 D R2 B D
D' B2 U2 D R2 B D'
D' B2 U2 D R2 B D2
D' B2 U2 D B R2 B
D' B2 U2 D B' R2 B
D' B2 U2 D B2 R2 B
L B2 U R' U R' B
U B2 U R2 D F2 B
U B2 U R2 D B F2
U B2 U R2 B D F2
D' B2 U2 B D R2 B
D' B2 U2 B' D R2 B
D' B2 U2 B2 D R2 B
D' B2 D L U2 R2 B
D' B2 D L F' U2 R2
D' B2 D L' U2 R2 B
D' B2 D L' F' U2 R2
L2 B2 U2 R2 D' F2 B
L2 B2 U2 R2 D' B F2
L2 B2 U2 R2 B D' F2
D' B2 D L2 U2 R2 B
F' B2 U D B2 U F2
D' B2 D L2 F' U2 R2
B' F2 U' L2 U' R2 B'
B' F2 U' L2 U' B' R2
D' B2 D U2 R2 D B
D' B2 D U2 R2 D' B
D' B2 D U2 R2 D2 B
D' B2 D U2 R2 B D
D' B2 D U2 R2 B D'
D' B2 D U2 R2 B D2
D' B2 D U2 B R2 B
D' B2 D U2 B' R2 B
D' B2 D U2 B2 R2 B
D' B2 D F' L U2 R2
D' B2 D F' L' U2 R2
D' B2 D F' L2 U2 R2
D' B2 D F' U2 R2 D
D' B2 D F' U2 R2 D'
D' B2 D F' U2 R2 D2
D' B2 D F' D2 L2 U2
F' B2 U' L2 U' R2 D
F' B2 U' L2 U' R2 D'
F' B2 U' L2 U' R2 D2
F' B2 U' L2 D' F2 U'
F' B2 U' L2 F U' R2
F' B2 U' L2 F' U' R2
F' B2 U' L2 F2 U' R2
D' B2 D' L F' L U2
B2 F2 U' L2 U' R2 B'
B2 F2 U' L2 U' B' R2
D' B2 D' L2 D F' U2
D' B2 D' L2 D' F' U2
D' B2 D' L2 D2 F' U2
D' B2 D' L2 F' U2 D
D' B2 D' L2 F' U2 D'
D' B2 D' L2 F' U2 D2
D' B2 D' L2 F' D U2
D' B2 D' L2 F' D' U2
D' B2 D' L2 F' D2 U2
F2 B2 U' L2 U' R2 B'
F2 B2 U' L2 U' B' R2
F' B2 U' F L2 U' R2
F' B2 U' F' L2 U' R2
U B2 U2 L2 U' R2 B
F' B2 U' F2 L2 U' R2
D' B2 D' F L2 F2 U2
D' B2 D' F' L2 U2 D
D' B2 D' F' L2 U2 D'
D' B2 D' F' L2 U2 D2
D' B2 D' F' L2 D U2
D' B2 D' F' L2 D' U2
D' B2 D' F' L2 D2 U2
D' B2 D' F' U2 D2 R2
D' B2 D' F' D2 U2 R2
D' B2 D' F2 L2 U2 B'
F' B2 U2 R D R F2
F' B2 U2 R' D R' F2
F' B2 U2 R' D F2 R'
F' B2 U2 R2 U L2 U'
F' B2 U2 R2 D F2 D
F' B2 U2 R2 D F2 D'
F' B2 U2 R2 D F2 D2
B F2 U' L2 U' R2 B'
B F2 U' L2 U' B' R2
F' B2 U2 R2 F D F2
F' B2 U2 R2 F' D F2
F' B2 U2 R2 F2 D F2
R2 B2 D F2 D B' L2
F' B2 U2 D F2 D' R2
F' B2 U2 F R2 D F2
F' B2 U2 F' R2 D F2
F' B2 U2 F2 R2 D F2
D' B2 D2 F' U B2 U
D' B2 D2 F' U2 D' R2
D' B2 D2 F' D L2 U2
D' B2 D2 F' D' U2 R2
R B2 D L R F2 B
R B2 D L R B F2
R B2 D R L F2 B
R B2 D R L B F2
R B2 D R F2 L B
F' B2 D U B2 U F2
F' B2 D U2 F2 D' R2
R2 B2 D' B' D' L2 F
D2 B2 F' L2 U R2 U
D2 B2 F' L2 U2 D' F2
D2 B2 F' L2 D B2 U2
D2 B2 F' L2 D' U2 F2
D' B2 F' L U' F' U'
D' B2 F' L' U' F' U'
D' B2 F' L2 U' F' U'
R2 B2 D2 B' L2 D' F2
D' B2 F' U' D F' U'
D' B2 F' U' D' F' U'
D' B2 F' U' D2 F' U'
D' B2 F' U' F' U' D
D' B2 F' U' F' U' D'
D' B2 F' U' F' U' D2
D' B2 F' U' F' D U'
D' B2 F' U' F' D' U'
D' B2 F' U' F' D2 U'
D' B2 F' D U' F' U'
D' B2 F' D' U' F' U'
D' B2 F' D2 U' F' U'
F' B2 D' B2 U' F2 U'
F' B2 D' B2 U2 D R2
F' B2 D' B2 D U2 R2
F' B2 D' B2 D' L2 U2
F' B2 D2 L2 U R2 U
F' B2 D2 L2 U2 D' F2
F' B2 D2 L2 D B2 U2
F' B2 D2 L2 D' U2 F2
L2 B2 F' U2 R2 D' F2
L B2 F' U R' U R'
