B L D' B2
B L U' L2 U
B' L D' B2 L
B L D' B2 D
B L D' B2 D'
B L D' B2 D2
U' L F L2 U
B L B D' B2
B L B' D' B2
B L B2 D' B2
U' L' U2 B' U'
L2 U' L F U
B U' L' U L2
L D' B L B
B D L D' B2
B D' L D' B2
B D2 L D' B2
D B L D' B2
D' B L D' B2
D2 B L D' B2
L B D' L B2
L2 B D L B'
L B' D' B2 L
D2 B D L D' B2 D
D2 B D L D' B2 D'
D2 B D L D' B2 D2
D B U' D2 L' U L2
D2 B D L B D' B2
D2 B D L B' D' B2
D2 B D L B2 D' B2
D' B D L U' L2 U
D' B D L D' B2 D
D' B D L D' B2 D'
D' B D L D' B2 D2
D' B D L B D' B2
D' B D L B' D' B2
D' B D L B2 D' B2
R' B D R L D' B2
L' B D L U' L' U
L B U' L2 U L' D
L B U' L2 U L' D'
L B U' L2 U L' D2
L B U' L2 U D L'
L B U' L2 U D' L'
L B U' L2 U D2 L'
L B U' L2 D U L'
L B U' L2 D' U L'
L B U' L2 D2 U L'
L' B D L2 D' L' B2
L' B D L2 D' B2 L'
D2 B D U' L' U L2
D' B D U' L' U L2
B F L F' U' L' U
L B U' F L2 U L'
R B U' L' B' U L2
L B U' F' L2 U L'
L B U' F2 L2 U L'
L2 B D L R' B' R
L2 B D L R2 B' R2
L2 B D L D B' D
L2 B D L D B' D'
L2 B D L D B' D2
L2 B D L D' B' D
L2 B D L D' B' D'
L2 B D L D' B' D2
L2 B D L D2 B' D
L2 B D L D2 B' D'
L2 B D L D2 B' D2
L2 B D L B2 D B
L2 B D L B2 D' B
L2 B D L B2 D2 B
U B U' B L D' B2
R' B D' L R D' B2
R' B D' L D' R B2
R' B D' L D' B2 R
L2 B D L' B L2 B'
L2 B D L' B' L2 B'
D2 B D' L U' L2 U
L2 B D L' B2 L2 B'
D2 B D' L D' B2 D
D2 B D' L D' B2 D'
D2 B D' L D' B2 D2
L2 B D L2 D L' B'
L2 B D L2 D' L' B'
D2 B D' L B D' B2
L2 B D L2 D2 L' B'
D2 B D' L B' D' B2
D2 B D' L B2 D' B2
L2 B D L2 B L' B'
L2 B D L2 B' L' B'
L2 B D L2 B2 L' B'
D' B D' L U' L2 U
D' B D' L D' B2 D
D' B D' L D' B2 D'
D' B D' L D' B2 D2
F B L F' U' L' U
D' B D' L B D' B2
D' B D' L B' D' B2
D' B D' L B2 D' B2
L2 B D R' L B' R
R' B D' R L D' B2
U B U2 L F L2 U
L' B D' L U' L' U
L2 B D R2 L B' R2
U B U2 L' U2 B' U'
L' B D' L2 D' L' B2
R2 B D L D' R2 B2
L' B D' L2 D' B2 L'
R2 B D L D' B2 R2
L2 B D F L F' B'
D2 B D' U' L' U L2
L2 B D F L B' F'
D B D L U' L2 U
D' B D' U' L' U L2
D B D L D' B2 D
D B D L D' B2 D'
D B D L D' B2 D2
D B D L B D' B2
D B D L B' D' B2
D B D L B2 D' B2
L B U2 D F2 U2 L
L2 B D F2 L F2 B'
L2 B D F2 L B' F2
L2 B D B L B' L
L2 B D' L R' B R
R' B D2 L R D' B2
D B D U' L' U L2
R' B D2 L D' R B2
R' B D2 L D' B2 R
D2 B D2 L U' L2 U
D2 B D2 L D' B2 D
D2 B D2 L D' B2 D'
D2 B D2 L D' B2 D2
D2 B D2 L B D' B2
D2 B D2 L B' D' B2
D2 B D2 L B2 D' B2
D' B D2 L U' L2 U
D' B D2 L D' B2 D
D' B D2 L D' B2 D'
D' B D2 L D' B2 D2
D' B D2 L B D' B2
D' B D2 L B' D' B2
D' B D2 L B2 D' B2
L2 B D' R' L B R
R' B D2 R L D' B2
L B D L U2 F2 U2
L B D L D2 B2 D
L B D L D2 B2 D'
L B D L D2 B2 D2
L B D L B D2 B2
L B D L B' D2 B2
L' B D2 L U' L' U
L B D L B2 D2 B2
L B D L2 D2 L' B2
F2 B R U' L R' F2
F2 B R U' L F2 R'
L B D L2 D2 B2 L'
F2 B R U' R' L F2
F2 B R U' R' F2 L
L' B D2 L2 D' L' B2
L' B D2 L2 D' B2 L'
F2 B R U' F2 L R'
F2 B R U' F2 R' L
D2 B D2 U' L' U L2
D B D' L U' L2 U
D' B D2 U' L' U L2
D B D' L D' B2 D
D B D' L D' B2 D'
D B D' L D' B2 D2
D B D' L B D' B2
D B D' L B' D' B2
D B D' L B2 D' B2
L B D U2 F2 U2 L
D B D' U' L' U L2
L B D B2 D2 B2 L
L B D' L R' B2 R
L B D' L R2 B2 R2
L B D' L B D B
L B D' L B D' B
L B D' L B D2 B
L B D' L B' D B'
L B D' L B' D' B'
L B D' L B' D2 B'
L B D' L' B L2 B
L B D' L' B2 L2 D
L B D' L' B2 L2 D'
L B D' L' B2 L2 D2
L B D' L2 B L' B
L B D' L2 B2 L' D
L B D' L2 B2 L' D'
L B D' L2 B2 L' D2
L B D' L2 B2 D L'
L B D' L2 B2 D' L'
L B D' L2 B2 D2 L'
R2 B D2 L D' B2 R'
L B D' R' L B2 R
L B D' R2 L B2 R2
D B D2 L U' L2 U
D B D2 L D' B2 D
D B D2 L D' B2 D'
D B D2 L D' B2 D2
D B D2 L B D' B2
D B D2 L B' D' B2
D B D2 L B2 D' B2
L B D' F L F' B2
L B D' F L B2 F'
L B D' F2 L F2 B2
L B D' F2 L B2 F2
D B D2 U' L' U L2
L B D' B2 U2 R' U2
L B D2 L U R2 U'
L B D2 L D B2 D
L B D2 L D B2 D'
L B D2 L D B2 D2
L B D2 L B D B2
L B D2 L B' D B2
L B D2 L B2 D B2
L B D2 L2 D L' B2
L B D2 L2 D B2 L'
L2 B F D L F' B'
L2 B F D L B' F'
L2 B F D F' L B'
D2 B F' D' F L B'
L B D2 U R2 U' L
D' B F' D' F L B'
L B D2 B2 D B2 L
F2 B U R U' L F2
F2 B U R U' F2 L
L2 B F' D F L B'
U' B' L F L2 B U
U' B' L F B L2 U
L B F D' L F' B2
L B F D' L B2 F'
L B F D' F' L B2
D2 B' L D' L B2 L
D2 B' L D' L' B2 L
D2 B' L D' L2 B2 L
R' B' L D' B2 L R
R' B' L D' B2 R L
D2 B' L D' B2 L D
D2 B' L D' B2 L D'
D2 B' L D' B2 L D2
D2 B' L D' B2 D L
D2 B' L D' B2 D' L
D2 B' L D' B2 D2 L
D' B' L D' L B2 L
D' B' L D' L' B2 L
D' B' L D' L2 B2 L
U' B' L B F L2 U
D B F' D' F L B'
D' B' L D' B2 L D
D' B' L D' B2 L D'
D' B' L D' B2 L D2
D' B' L D' B2 D L
D' B' L D' B2 D' L
D' B' L D' B2 D2 L
D2 B' L B2 D' L B2
D' B' L B2 D' L B2
L' B' L B2 L D' B2
L B F' D' F L B2
U' B' L' B U D L2
U' B' L' B U2 B2 U'
U' B' L' B D U L2
U' B' L' B D2 F2 U
U B F2 R F2 B U'
U B F2 R B F2 U'
L2 B' L B2 D L B'
D B' L D' L B2 L
D B' L D' L' B2 L
D B' L D' L2 B2 L
D B' L D' B2 L D
D B' L D' B2 L D'
D B' L D' B2 L D2
D B' L D' B2 D L
D B' L D' B2 D' L
D B' L D' B2 D2 L
D B' L B2 D' L B2
L' B' L2 D' L B2 L
L' B' L2 D' L' B2 L
L' B' L2 D' L2 B2 L
L' B' L2 D' B2 L D
L' B' L2 D' B2 L D'
L' B' L2 D' B2 L D2
L' B' L2 D' B2 D L
L' B' L2 D' B2 D' L
L' B' L2 D' B2 D2 L
L2 B' L' B2 D L B'
F' B D F D2 L B'
L' B' L2 B2 D' L B2
L2 B' L2 B2 D L B'
F' B D' F L D B'
F' B D' F L D' B'
F' B D' F L D2 B'
F' B D' F L B' D
F' B D' F L B' D'
F' B D' F L B' D2
F' B D' F' L F2 B'
F' B D' F' L B' F2
F' B D' F2 L F' B'
F' B D' F2 L B' F'
B F D F' L D' B2
L B' L' B2 L D' B2
F B D F' L D' B2
F' B D2 F D L B'
B F D' F' L D' B2
F B D' F' L D' B2
U B' R B U2 L' U
B F D2 F' L D' B2
U B' R' U2 L' F' U
L B' R' D' R B2 L
F B D2 F' L D' B2
D2 B' U' L' U' R' U2
L' B' U B2 U' L B2
D' B' U' L' U' R' U2
D2 B' U2 R' U L' U
D' B' U2 R' U L' U
L' B' U2 R' U' R U'
D B' U' L' U' R' U2
D2 B' D L D' B2 L
D' B' D L D' B2 L
L' B' D L2 D' B2 L
L B' U' L2 U' R' U2
D B' U2 R' U L' U
D2 B' D B2 L D' B2
D2 B' D' L D' B2 L
D' B' D B2 L D' B2
U B' U' B L D' B2
D' B' D' L D' B2 L
U B' U2 L F L2 U
U B' U2 L' U2 B' U'
L' B' D' L2 D' B2 L
L B' U2 R' U L2 U
L B' U2 R' U2 D' B2
L B' U2 R' D F2 U2
L B' U2 R' D' U2 B2
D B' D L D' B2 L
L B' U2 D R' F2 U2
L B' U2 D F2 R' U2
L B' U2 D' R' U2 B2
L2 B' D B2 D L B'
D2 B' D' B2 L D' B2
D2 B' D2 L D' B2 L
D' B' D' B2 L D' B2
D' B' D2 L D' B2 L
L B' D L D2 B2 L
L B' D L' D2 B2 L
L' B' D2 L2 D' B2 L
L B' D L2 D2 B2 L
D B' D B2 L D' B2
D B' D' L D' B2 L
L B' D U2 R' F2 U2
L2 B' D' B2 D L B'
L B' D U2 F2 R' U2
D2 B' D2 B2 L D' B2
D' B' D2 B2 L D' B2
L B' D B2 L D2 B2
L B' D B2 D2 L B2
L B' D' L B2 L D
L B' D' L B2 L D'
L B' D' L B2 L D2
L B' D' L B2 D L
L B' D' L B2 D' L
L B' D' L B2 D2 L
L B' D' L' B2 L D
L B' D' L' B2 L D'
L B' D' L' B2 L D2
L B' D' L' B2 D L
L B' D' L' B2 D' L
L B' D' L' B2 D2 L
L B' D' L2 B2 L D
L B' D' L2 B2 L D'
L B' D' L2 B2 L D2
L B' D' L2 B2 D L
L B' D' L2 B2 D' L
L B' D' L2 B2 D2 L
D B' D' B2 L D' B2
D B' D2 L D' B2 L
L B' D' U2 R' U2 B2
L2 B' D2 B2 D L B'
L B' D' F B2 L F'
L B' D' F2 B2 L F2
L B' D' B L B L
L B' D' B L' B L
L B' D' B L2 B L
L B' D' B D B L
L B' D' B D' B L
L B' D' B D2 B L
L B' D' B2 L2 D L'
L B' D' B2 L2 D' L'
L B' D' B2 L2 D2 L'
L B' D' B2 D L D
L B' D' B2 D L D'
L B' D' B2 D L D2
L B' D' B2 D' L D
L B' D' B2 D' L D'
L B' D' B2 D' L D2
L B' D' B2 D2 L D
L B' D' B2 D2 L D'
L B' D' B2 D2 L D2
L B' D' B2 F L F'
L B' D' B2 F2 L F2
L B' D2 L D B2 L
L B' D2 L' D B2 L
L B' D2 L2 D B2 L
D B' D2 B2 L D' B2
L B' D2 B2 L D B2
L B' D2 B2 D L B2
U' B2 L F L2 B2 U
U' B2 L F B2 L2 U
L B' F D' F' B2 L
L B' F D' B2 L F'
L B' F D' B2 F' L
U' B2 L B2 F L2 U
D2 B2 L B D' B2 L
D2 B2 L B' D' L B2
D' B2 L B D' B2 L
B' F' D' F B2 L B'
D' B2 L B' D' L B2
L' B2 L B' L D' B2
B' F' D' B2 F L B'
L B' F' D' F B2 L
L B' F' D' B2 F L
F' B' D' F B2 L B'
U' B2 L' B2 U2 B U'
B F' D F D2 L B'
U B' F2 R F2 B U'
U B' F2 R B F2 U'
L2 B2 L B' D L B'
F' B' D' B2 F L B'
D B2 L B D' B2 L
D B2 L B' D' L B2
B F' D' F L D B'
B F' D' F L D' B'
B F' D' F L D2 B'
B F' D' F L B' D
B F' D' F L B' D'
B F' D' F L B' D2
B F' D' F' L F2 B'
B F' D' F' L B' F2
B F' D' F2 L F' B'
B F' D' F2 L B' F'
L2 B2 L' B' D L B'
L' B2 L2 B D' B2 L
L' B2 L2 B' D' L B2
B F' D2 F D L B'
L2 B2 L2 B' D L B'
R' B2 R B' L D' B2
L B2 L' B' L D' B2
B F2 L U R U' F2
B F2 L F2 U' L' U
U B2 R B U2 L' U
U B2 R' U2 L' F' U
L' B2 U B' U' L B
L2 B2 U R' B' U' L
B F2 R U' L R' F2
B F2 R U' L F2 R'
B F2 R U' R' L F2
B F2 R U' R' F2 L
B F2 R U' F2 L R'
B F2 R U' F2 R' L
R2 B2 R2 B' L D' B2
L2 B2 U D' R' B U'
D2 B2 U' D L' F U
D' B2 U' D L' F U
D B2 U' D L' F U
D2 B2 D U' L' F U
D' B2 D U' L' F U
U B2 U' B L D' B2
B F2 U R U' L F2
B F2 U R U' F2 L
U B2 U2 L F L2 U
U B2 U2 L' U2 B' U'
D B2 D U' L' F U
L2 B2 D' U R' B U'
L B2 D' B' D B' L
U B2 F2 R F2 B U'
U B2 F2 R B F2 U'
