U B' U' R'
R' U B' U' R'
R2 U B' U' R'
R U B' U' R'
U D B' U' R'
D U B' U' R'
D' U B' U' R'
D2 U B' U' R'
U D' B' U' R'
U D2 B' U' R'
U F B' U' R'
U F' B' U' R'
U F2 B' U' R'
U B' U' R' D
U B' U' R' D'
U B' U' R' D2
U B' U' D R'
U B' U' D' R'
U B' U' D2 R'
U B' D U' R'
U B' D' U' R'
U B' D2 U' R'
U B' F U' R'
U B' F' U' R'
U B' F2 U' R'
D B' F' U' F B R
U B' F D U' R' D
U B' F D U' R' D'
U B' F D U' R' D2
D B' F' U' B F R
U B' F D F U' R'
U B' F D F' U' R'
U B' F D F2 U' R'
U B' F D' U' R' D
U B' F D' U' R' D'
U B' F D' U' R' D2
U B' F D' F U' R'
U B' F D' F' U' R'
U B' F D' F2 U' R'
U B' F D2 U' R' D
U B' F D2 U' R' D'
U B' F D2 U' R' D2
U B' F D2 F U' R'
U B' F D2 F' U' R'
U B' F D2 F2 U' R'
B' F' D' U' F B R
B' F' D' U' B F R
U B' F' U L U2 R'
U B' F' U L' U2 R'
U B' F' U L2 U2 R'
U B' F' U' R2 D R
U B' F' U' R2 D' R
U B' F' U' R2 D2 R
U B' F' U' D R' D
U B' F' U' D R' D'
U B' F' U' D R' D2
U B' F' U' D' R' D
U B' F' U' D' R' D'
U B' F' U' D' R' D2
U B' F' U' D2 R' D
U B' F' U' D2 R' D'
U B' F' U' D2 R' D2
U B' F' U' F' R' F
U B' F' U' F2 R' F2
U B' F' D U' R' D
U B' F' D U' R' D'
U B' F' D U' R' D2
U B' F' D F U' R'
F' B' D' U' F B R
U B' F' D F' U' R'
U B' F' D F2 U' R'
F' B' D' U' B F R
U B' F' D' U' R' D
U B' F' D' U' R' D'
U B' F' D' U' R' D2
U B' F' D' F U' R'
U B' F' D' F' U' R'
U B' F' D' F2 U' R'
U B' F' D2 U' R' D
U B' F' D2 U' R' D'
U B' F' D2 U' R' D2
U B' F' D2 F U' R'
U B' F' D2 F' U' R'
U B' F' D2 F2 U' R'
R B' F' U' F B R
R B' F' U' B F R
B' F' D2 U' F B R
B' F' D2 U' B F R
U B' F2 U L U2 R'
U B' F2 U L' U2 R'
U B' F2 U L2 U2 R'
U B' F2 U' R2 D R
U B' F2 U' R2 D' R
U B' F2 U' R2 D2 R
U B' F2 U' D R' D
U B' F2 U' D R' D'
U B' F2 U' D R' D2
U B' F2 U' D' R' D
U B' F2 U' D' R' D'
U B' F2 U' D' R' D2
U B' F2 U' D2 R' D
U B' F2 U' D2 R' D'
U B' F2 U' D2 R' D2
U B' F2 U' F' R' F
U B' F2 U' F2 R' F2
U B' F2 D U' R' D
U B' F2 D U' R' D'
U B' F2 D U' R' D2
U B' F2 D F U' R'
U B' F2 D F' U' R'
U B' F2 D F2 U' R'
U B' F2 D' U' R' D
U B' F2 D' U' R' D'
U B' F2 D' U' R' D2
U B' F2 D' F U' R'
U B' F2 D' F' U' R'
U B' F2 D' F2 U' R'
U B' F2 D2 U' R' D
U B' F2 D2 U' R' D'
U B' F2 D2 U' R' D2
U B' F2 D2 F U' R'
U B' F2 D2 F' U' R'
U B' F2 D2 F2 U' R'
F' B' D2 U' F B R
F' B' D2 U' B F R
B' F2 L F U' F B
B' F2 L F U' B F
U B2 L B L' U' R'
U B2 L2 B L2 U' R'
U' B2 U2 B U L U2
B' F2 U' F B R F
B' F2 U' F2 D2 B R'
B' F2 U' B F R F
U' B2 F U2 B U' R
U B2 D2 F' B U' R
U B2 D2 B F' U' R
L B2 F U' F' L' B2
L B2 F U' F' B2 L'
L B2 F U' B2 F' L'
