F' R U R' F
F' R U F R'
L' U' L F' U
L2 U' L2 F' U
L U' L' F' U
L' U' F' L U
L2 U' F' L2 U
F' R' U R F
F' R2 U R2 F
F' R2 U F R2
U R2 B U' B'
U' F' L2 U B'
U' F' U' F U2
R F U F' D2 L' R'
R F U F' D2 R' L'
B' D L' U' F' L U
R F U F2 R' F L'
U2 F U2 L2 D' L2 B2
U2 F U2 L2 D' B2 L2
B D L U' L' F' U
B2 D L' U' L F' U
B2 D L' U' F' L U
U2 F U2 D' L2 D' B2
U' F D U' R2 U2 B
U' F D U' F' R2 U2
B' D L2 U' L2 F' U
B' D L2 U' F' L2 U
R2 F U2 B U' F' R2
B D L' U' L F' U
B D L' U' F' L U
U2 F D R2 U' R2 U'
U2 F D R2 U2 D B2
U2 F D R2 D U2 B2
B2 D L2 U' L2 F' U
U2 F D R2 D' F2 U2
D' F D' L2 D' F' B2
D' F D' L2 D' B2 F'
B2 D L2 U' F' L2 U
D' F D' L2 F' D' B2
D2 F D' L2 D' F' B2
D2 F D' L2 D' B2 F'
D2 F D' L2 F' D' B2
U' F D' U' F' U2 L2
U' F D' F2 U L2 B'
D' F D' F' L2 D' B2
D2 F D' F' L2 D' B2
L2 F D' L F' L B2
L2 F D' L' B2 L' F'
F' D R U R F R2
F' D R U R' D F
F' D R U R' D' F
F' D R U R' D2 F
F' D R U R' F D
F' D R U R' F D'
F' D R U R' F D2
F' D R U D R' F
F' D R U D F R'
F' D R U D' R' F
F' D R U D' F R'
F' D R U D2 R' F
F' D R U D2 F R'
F' D R U F R' D
F' D R U F R' D'
F' D R U F R' D2
F' D R U F D R'
F' D R U F D' R'
F' D R U F D2 R'
F' D R U F' R' F2
L2 F D' L2 F' B2 D
L2 F D' L2 F' B2 D'
L2 F D' L2 F' B2 D2
L2 F D' L2 B2 D F'
L2 F D' L2 B2 D' F'
L2 F D' L2 B2 D2 F'
L2 F D' L2 B2 F' D
L2 F D' L2 B2 F' D'
L2 F D' L2 B2 F' D2
B D L2 U' L2 F' U
B D L2 U' F' L2 U
F' D R D U R' F
F' D R D U F R'
F' D R D' U R' F
F' D R D' U F R'
F' D R D2 U R' F
F' D R D2 U F R'
U2 F D' U2 L2 D' B2
L2 F D' F L2 F2 B2
L2 F D' F L2 B2 F2
L2 F D' F B2 L2 F2
L2 F D' F' L' B2 L'
L2 F D' F' L2 B2 D
L2 F D' F' L2 B2 D'
L2 F D' F' L2 B2 D2
L2 F D' F' B L2 B
L2 F D' F' B2 L2 D
L2 F D' F' B2 L2 D'
L2 F D' F' B2 L2 D2
R F D U F' L' R'
R F D U F' R' L'
D F D' L2 D' F' B2
D F D' L2 D' B2 F'
D F D' L2 F' D' B2
L2 F D' B L2 F' B
L2 F D' B L2 B F'
L2 F D' B F' L2 B
L2 F D' B2 L F' L
L2 F D' B2 L2 D F'
L2 F D' B2 L2 D' F'
L2 F D' B2 L2 D2 F'
L2 F D' B2 L2 F' D
L2 F D' B2 L2 F' D'
L2 F D' B2 L2 F' D2
L2 F D' B2 F L2 F2
L2 F D' B2 F' L2 D
L2 F D' B2 F' L2 D'
L2 F D' B2 F' L2 D2
F' D R' U R D F
F' D R' U R D' F
F' D R' U R D2 F
F' D R' U R F D
F' D R' U R F D'
F' D R' U R F D2
F' D R' U R' F R2
F' D R' U R2 F R'
F' D R' U D R F
F' D R' U D' R F
F' D R' U D2 R F
D F D' F' L2 D' B2
F' D R' D U R F
F' D R' D' U R F
F' D R' D2 U R F
U2 F D2 U' B2 U' B2
L2 F D2 F' D L2 B2
L2 F D2 F' D B2 L2
R F D' U F' L' R'
R F D' U F' R' L'
F' D R' B U R F
F' D R' B' U R F
F' D R' B2 U R F
F' D R2 U R' F R'
F' D R2 U R2 D F
F' D R2 U R2 D' F
F' D R2 U R2 D2 F
F' D R2 U R2 F D
F' D R2 U R2 F D'
F' D R2 U R2 F D2
F' D R2 U F R2 D
F' D R2 U F R2 D'
F' D R2 U F R2 D2
F' D R2 U F' R2 F2
F' D R2 D B2 U F
F2 D R2 D F B2 U
F2 D R2 D B2 F U
L2 F B D' L2 F' B2
L2 F B D' L2 B2 F'
L2 F B D' F' L2 B2
L2 F B D' F' B2 L2
L2 F B D' B2 L2 F'
L2 F B D' B2 F' L2
U F D2 F' B2 U' B2
R F D2 U F' L' R'
R F D2 U F' R' L'
F' D R2 B U R2 F
F' D R2 B U F R2
F2 D R2 F U R2 D
F2 D R2 F U R2 D'
F2 D R2 F U R2 D2
F' D R2 B' U R2 F
F' D R2 B' U F R2
F2 D R2 F D B2 U
F2 D R2 F B U R2
F2 D R2 F B' U R2
F2 D R2 F B2 U R2
F' D R2 B2 U R2 F
F' D R2 B2 U F R2
U F D2 B2 F' U' B2
F2 D R2 B F U R2
B' D U R2 B U' B'
F2 D R2 B' F U R2
F2 D R2 B2 F U R2
F' D U F U F' U'
B2 D U R2 B U' B'
L2 F B' D' L2 F' B2
L2 F B' D' L2 B2 F'
F' D U F2 D F' R2
L2 F B' D' F' L2 B2
L2 F B' D' F' B2 L2
L2 F B' D' B2 L2 F'
L2 F B' D' B2 F' L2
U' F' L U L B' L'
B' D U' F' L2 U B'
B' D U' F' U' F U2
L2 F B2 D' L2 F' B2
L2 F B2 D' L2 B2 F'
L2 F B2 D' F' L2 B2
L2 F B2 D' F' B2 L2
L2 F B2 D' B2 L2 F'
L2 F B2 D' B2 F' L2
B D U R2 B U' B'
B2 D U' F' L2 U B'
B2 D U' F' U' F U2
F2 D U' F R2 U B
U' F' L' U2 R U' B
U' F' L' D L' U B'
U' F' L' D' L' U B'
U' F' L' D2 L' U B'
B D U' F' L2 U B'
B D U' F' U' F U2
U' F' L2 U R' B' R
U' F' L2 U R2 B' R2
U' F' L2 U D B' D
U' F' L2 U D B' D'
U' F' L2 U D B' D2
U' F' L2 U D' B' D
U' F' L2 U D' B' D'
U' F' L2 U D' B' D2
U' F' L2 U D2 B' D
U' F' L2 U D2 B' D'
U' F' L2 U D2 B' D2
U' F' L2 U B2 D B
U' F' L2 U B2 D' B
U' F' L2 U B2 D2 B
U' F' L2 U' F U2 B'
U' F' L2 U' F' U2 B'
U' F' L2 U' F2 U2 B'
U' F' L2 U2 R U' B'
U' F' L2 U2 R' U' B'
U' F' L2 U2 R2 U' B'
U' F' L2 D U B' D
U' F' L2 D U B' D'
U' F' L2 D U B' D2
U' F' L2 D' U B' D
U' F' L2 D' U B' D'
U' F' L2 D' U B' D2
U' F' L2 D2 U B' D
U' F' L2 D2 U B' D'
U' F' L2 D2 U B' D2
F2 D F R2 U R2 D
F2 D F R2 U R2 D'
F2 D F R2 U R2 D2
F2 D F R2 D B2 U
F2 D F R2 B U R2
F2 D F R2 B' U R2
F2 D F R2 B2 U R2
B' D F' R U R' F
B' D F' R U F R'
B' D F' R' U R F
B' D F' R2 U R2 F
B' D F' R2 U F R2
F2 D F B R2 U R2
F2 D F B' R2 U R2
F2 D F B2 R2 U R2
B2 D F' R U R' F
B2 D F' R U F R'
D2 F' R U R F R2
D2 F' R U R' D F
D2 F' R U R' D' F
D2 F' R U R' D2 F
D2 F' R U R' F D
D2 F' R U R' F D'
D2 F' R U R' F D2
D' F' R U R F R2
B2 D F' R' U R F
D' F' R U R' D F
D' F' R U R' D' F
D' F' R U R' D2 F
D' F' R U R' F D
D' F' R U R' F D'
D' F' R U R' F D2
D2 F' R U D R' F
D2 F' R U D F R'
D2 F' R U D' R' F
D2 F' R U D' F R'
D' F' R U D R' F
D' F' R U D F R'
D2 F' R U D2 R' F
D2 F' R U D2 F R'
D' F' R U D' R' F
D' F' R U D' F R'
D2 F' R U F R' D
D2 F' R U F R' D'
D2 F' R U F R' D2
D2 F' R U F D R'
D2 F' R U F D' R'
D2 F' R U F D2 R'
D' F' R U D2 R' F
D' F' R U D2 F R'
D2 F' R U F' R' F2
D' F' R U F R' D
D' F' R U F R' D'
D' F' R U F R' D2
D' F' R U F D R'
D' F' R U F D' R'
D' F' R U F D2 R'
D' F' R U F' R' F2
B2 D F' R2 U R2 F
B2 D F' R2 U F R2
F2 D F' R2 F2 U R2
D2 F' R D U R' F
D2 F' R D U F R'
D' F' R D U R' F
D' F' R D U F R'
D2 F' R D' U R' F
D2 F' R D' U F R'
D' F' R D' U R' F
D' F' R D' U F R'
D' F' R D2 U R' F
D2 F' R D2 U R' F
D' F' R D2 U F R'
D2 F' R D2 U F R'
R' F' R F' U F2 R
B D F' R U R' F
B D F' R U F R'
B D F' R' U R F
D2 F' R' U R D F
D2 F' R' U R D' F
D2 F' R' U R D2 F
D2 F' R' U R F D
D2 F' R' U R F D'
D2 F' R' U R F D2
B D F' R2 U R2 F
B D F' R2 U F R2
D2 F' R' U R' F R2
D' F' R' U R D F
D' F' R' U R D' F
D' F' R' U R D2 F
D' F' R' U R F D
D' F' R' U R F D'
D' F' R' U R F D2
D2 F' R' U R2 F R'
D' F' R' U R' F R2
D2 F' R' U D R F
D2 F' R' U D' R F
D' F' R' U R2 F R'
D' F' R' U D R F
D2 F' R' U D2 R F
D' F' R' U D' R F
D' F' R' U D2 R F
D2 F' R' D U R F
D' F' R' D U R F
D2 F' R' D' U R F
D' F' R' D' U R F
D2 F' R' D2 U R F
D F' R U R F R2
D' F' R' D2 U R F
D F' R U R' D F
D F' R U R' D' F
D F' R U R' D2 F
D F' R U R' F D
D F' R U R' F D'
D F' R U R' F D2
D F' R U D R' F
D F' R U D F R'
D F' R U D' R' F
D F' R U D' F R'
D F' R U D2 R' F
D F' R U D2 F R'
D F' R U F R' D
D F' R U F R' D'
D F' R U F R' D2
D F' R U F D R'
D F' R U F D' R'
D F' R U F D2 R'
D F' R U F' R' F2
D F' R D U R' F
D F' R D U F R'
D2 F' R' B U R F
D' F' R' B U R F
D F' R D' U R' F
D F' R D' U F R'
D2 F' R' B' U R F
D' F' R' B' U R F
D F' R D2 U R' F
D F' R D2 U F R'
F' D B R U R' F
F' D B R U F R'
D2 F' R' B2 U R F
D' F' R' B2 U R F
F' D B R' U R F
F D F' D2 L2 D' B2
F' D B R2 U R2 F
F' D B R2 U F R2
D' F' R2 U R' F R'
D2 F' R2 U R' F R'
D' F' R2 U R2 D F
D' F' R2 U R2 D' F
D' F' R2 U R2 D2 F
D' F' R2 U R2 F D
D' F' R2 U R2 F D'
D' F' R2 U R2 F D2
D2 F' R2 U R2 D F
D2 F' R2 U R2 D' F
D2 F' R2 U R2 D2 F
D2 F' R2 U R2 F D
D2 F' R2 U R2 F D'
D2 F' R2 U R2 F D2
D' F' R2 U F R2 D
D' F' R2 U F R2 D'
D' F' R2 U F R2 D2
D2 F' R2 U F R2 D
D2 F' R2 U F R2 D'
D2 F' R2 U F R2 D2
D' F' R2 U F' R2 F2
D2 F' R2 U F' R2 F2
F2 D B R2 F U R2
D' F' R2 D B2 U F
D2 F' R2 D B2 U F
D F' R' U R D F
D F' R' U R D' F
D F' R' U R D2 F
D F' R' U R F D
D F' R' U R F D'
D F' R' U R F D2
D F' R' U R' F R2
D F' R' U R2 F R'
D F' R' U D R F
D F' R' U D' R F
D F' R' U D2 R F
D F' R' D U R F
D2 F' R2 B U R2 F
D2 F' R2 B U F R2
D' F' R2 B U R2 F
D' F' R2 B U F R2
D F' R' D' U R F
F2 D B F R2 U R2
D2 F' R2 B' U R2 F
D2 F' R2 B' U F R2
D' F' R2 B' U R2 F
D' F' R2 B' U F R2
D F' R' D2 U R F
F' D B' R U R' F
F' D B' R U F R'
U' F' U L2 B L2 B2
U' F' U L2 B' L2 D
U' F' U L2 B' L2 D'
U' F' U L2 B' L2 D2
U' F' U L2 B2 L2 B
D2 F' R2 B2 U R2 F
D2 F' R2 B2 U F R2
D' F' R2 B2 U R2 F
D' F' R2 B2 U F R2
F' D B' R' U R F
F' D B' R2 U R2 F
F' D B' R2 U F R2
U' F' U D L2 B' L2
D F' R' B U R F
U' F' U D' L2 B' L2
D F' R' B' U R F
U' F' U D2 L2 B' L2
D F' R' B2 U R F
F2 D B' R2 F U R2
U' F' U F' D2 F B2
U' F' U F' D2 B2 F
U' F' U B L2 B' L2
D F' R2 U R' F R'
D F' R2 U R2 D F
D F' R2 U R2 D' F
D F' R2 U R2 D2 F
D F' R2 U R2 F D
D F' R2 U R2 F D'
D F' R2 U R2 F D2
U' F' U B U2 F U2
D F' R2 U F R2 D
D F' R2 U F R2 D'
D F' R2 U F R2 D2
D F' R2 U F' R2 F2
D2 F' U F U F' U'
D' F' U F U F' U'
U' F' U B' L2 B' L2
U' F' U B' U2 F U2
U' F' U B2 L2 B' L2
U' F' U B2 U2 F U2
D2 F' U F2 D F' R2
D' F' U F2 D F' R2
D F' R2 D B2 U F
F2 D B' F R2 U R2
F' D B2 R U R' F
F' D B2 R U F R'
U' F' U' R F R' U2
F' D B2 R' U R F
F' D B2 R2 U R2 F
F' D B2 R2 U F R2
U' F' U' R2 F R2 U2
U' F' U' D F U2 D
U' F' U' D F U2 D'
U' F' U' D F U2 D2
U' F' U' D F D U2
U' F' U' D F D' U2
U' F' U' D F D2 U2
D F' R2 B U R2 F
D F' R2 B U F R2
U' F' U' D' F U2 D
U' F' U' D' F U2 D'
U' F' U' D' F U2 D2
U' F' U' D' F D U2
U' F' U' D' F D' U2
U' F' U' D' F D2 U2
D F' R2 B' U R2 F
D F' R2 B' U F R2
U' F' U' D2 F U2 D
U' F' U' D2 F U2 D'
U' F' U' D2 F U2 D2
U' F' U' D2 F D U2
U' F' U' D2 F D' U2
U' F' U' D2 F D2 U2
D F' R2 B2 U R2 F
D F' R2 B2 U F R2
F2 D B2 R2 F U R2
U' F' U' F' U2 D2 B2
U' F' U' F' U2 D2 B2
U' F' U' F' D2 U2 B2
R2 F' U R2 F D' L2
U' F' U' F2 D F' U2
U' F' U' F2 D' F' U2
U' F' U' F2 D2 F' U2
B' D' L U' L' F' U
F2 D B2 F R2 U R2
U' F' U2 R U F U2
D F' U F U F' U'
U' F' U2 R' U F U2
U' F' U2 R2 U F U2
D F' U F2 D F' R2
B2 D' L U' L' F' U
R F' U R' F' L' F2
B' D' L' U' L F' U
B' D' L' U' F' L U
R F' U F R' D2 L2
R F' U F' L' R' F2
R F' U F' L' F2 R'
R F' U F' R' L' F2
U' F' D L2 U D B'
U' F' D L2 U D' B'
U' F' D L2 U D2 B'
U' F' D L2 U B' D
U' F' D L2 U B' D'
U' F' D L2 U B' D2
U' F' D L2 D U B'
U' F' D L2 D' U B'
U' F' D L2 D2 U B'
B D' L U' L' F' U
U' F' D U L2 B' L2
B2 D' L' U' L F' U
D2 F' D R U R' F
D2 F' D R U F R'
D' F' D R U R' F
D' F' D R U F R'
B2 D' L' U' F' L U
U' F' D U' F U2 D
U' F' D U' F U2 D'
U' F' D U' F U2 D2
U' F' D U' F D U2
U' F' D U' F D' U2
U' F' D U' F D2 U2
D2 F' D R' U R F
D' F' D R' U R F
D2 F' D R2 U R2 F
D2 F' D R2 U F R2
D' F' D R2 U R2 F
D' F' D R2 U F R2
B' D' L2 U' L2 F' U
B' D' L2 U' F' L2 U
U' F' D' L2 U D B'
U' F' D' L2 U D' B'
U' F' D' L2 U D2 B'
U' F' D' L2 U B' D
U' F' D' L2 U B' D'
U' F' D' L2 U B' D2
U' F' D' L2 D U B'
U' F' D' L2 D' U B'
U' F' D' L2 D2 U B'
R2 F' U2 B U' R2 F
R2 F' U2 B U' F R2
F D' L F' D' L B'
B D' L' U' L F' U
U' F' D' U L2 B' L2
B D' L' U' F' L U
B2 D' L2 U' L2 F' U
D2 F' D' R U R' F
D2 F' D' R U F R'
D' F' D' R U R' F
D' F' D' R U F R'
B2 D' L2 U' F' L2 U
U' F' D' U' F U2 D
U' F' D' U' F U2 D'
U' F' D' U' F U2 D2
U' F' D' U' F D U2
U' F' D' U' F D' U2
U' F' D' U' F D2 U2
D2 F' D' R' U R F
D' F' D' R' U R F
D2 F' D' R2 U R2 F
D2 F' D' R2 U F R2
D' F' D' R2 U R2 F
D' F' D' R2 U F R2
D F' D R U R' F
D F' D R U F R'
D F' D R' U R F
D F' D R2 U R2 F
D F' D R2 U F R2
U' F' D2 L2 U D B'
U' F' D2 L2 U D' B'
U' F' D2 L2 U D2 B'
U' F' D2 L2 U B' D
U' F' D2 L2 U B' D'
U' F' D2 L2 U B' D2
U' F' D2 L2 D U B'
U' F' D2 L2 D' U B'
U' F' D2 L2 D2 U B'
F' D' R U R F R2
F' D' R U R' D F
F' D' R U R' D' F
F' D' R U R' D2 F
F' D' R U R' F D
F' D' R U R' F D'
F' D' R U R' F D2
F' D' R U D R' F
F' D' R U D F R'
F' D' R U D' R' F
F' D' R U D' F R'
F' D' R U D2 R' F
F' D' R U D2 F R'
F' D' R U F R' D
F' D' R U F R' D'
F' D' R U F R' D2
F' D' R U F D R'
F' D' R U F D' R'
F' D' R U F D2 R'
F' D' R U F' R' F2
F' D' R D U R' F
F' D' R D U F R'
B D' L2 U' L2 F' U
U' F' D2 U L2 B' L2
D2 F' D2 R U R' F
D2 F' D2 R U F R'
B D' L2 U' F' L2 U
D' F' D2 R U R' F
D' F' D2 R U F R'
F' D' R D' U R' F
F' D' R D' U F R'
U' F' D2 U' F U2 D
U' F' D2 U' F U2 D'
U' F' D2 U' F U2 D2
U' F' D2 U' F D U2
U' F' D2 U' F D' U2
U' F' D2 U' F D2 U2
D2 F' D2 R' U R F
D' F' D2 R' U R F
F' D' R D2 U R' F
F' D' R D2 U F R'
D2 F' D2 R2 U R2 F
D2 F' D2 R2 U F R2
D' F' D2 R2 U R2 F
D' F' D2 R2 U F R2
F D' L2 U' L2 U F'
D F' D' R U R' F
D F' D' R U F R'
D F' D' R' U R F
D F' D' R2 U R2 F
D F' D' R2 U F R2
F D' L2 D' F' B2 D
F D' L2 D' F' B2 D'
F D' L2 D' F' B2 D2
F D' L2 D' B2 D F'
F D' L2 D' B2 D' F'
F D' L2 D' B2 D2 F'
F D' L2 D' B2 F' D
F D' L2 D' B2 F' D'
F D' L2 D' B2 F' D2
F D' L2 D2 F' D B2
F' D' R' U R D F
F' D' R' U R D' F
F' D' R' U R D2 F
F' D' R' U R F D
F' D' R' U R F D'
F' D' R' U R F D2
F' D' R' U R' F R2
F' D' R' U R2 F R'
F' D' R' U D R F
F' D' R' U D' R F
F' D' R' U D2 R F
F D' L2 F' U' L2 U
F D' L2 F' D' B2 D
F D' L2 F' D' B2 D'
F D' L2 F' D' B2 D2
F D' L2 F' B D' B2
F D' L2 F' B' D' B2
F D' L2 F' B2 D' B2
F D' L2 F2 D' F B2
F D' L2 F2 D' B2 F
F' D' R' D U R F
F D' L2 B D' F' B2
F D' L2 B D' B2 F'
F D' L2 B F' D' B2
D2 F' B R U R' F
D2 F' B R U F R'
F' D' R' D' U R F
D' F' B R U R' F
D' F' B R U F R'
F D' L2 B' D' F' B2
F D' L2 B' D' B2 F'
F D' L2 B' F' D' B2
D2 F' B R' U R F
F' D' R' D2 U R F
D' F' B R' U R F
F D' L2 B2 D' F' B2
F D' L2 B2 D' B2 F'
F D' L2 B2 F' D' B2
D2 F' B R2 U R2 F
D2 F' B R2 U F R2
D' F' B R2 U R2 F
D' F' B R2 U F R2
F' D' R' B U R F
D F' D2 R U R' F
D F' D2 R U F R'
F' D' R' B' U R F
D F' D2 R' U R F
F' D' R' B2 U R F
D F' D2 R2 U R2 F
D F' D2 R2 U F R2
U' F' B' L2 B U B2
F' D' R2 U R' F R'
F' D' R2 U R2 D F
F' D' R2 U R2 D' F
F' D' R2 U R2 D2 F
F' D' R2 U R2 F D
F' D' R2 U R2 F D'
F' D' R2 U R2 F D2
F' D' R2 U F R2 D
F' D' R2 U F R2 D'
F' D' R2 U F R2 D2
F' D' R2 U F' R2 F2
D2 F' B' R U R' F
D2 F' B' R U F R'
D' F' B' R U R' F
D' F' B' R U F R'
D2 F' B' R' U R F
D' F' B' R' U R F
D2 F' B' R2 U R2 F
D2 F' B' R2 U F R2
F' D' R2 D B2 U F
D' F' B' R2 U R2 F
D' F' B' R2 U F R2
F D' R' U L2 R F'
F D' R' U R L2 F'
F D' R' U R F' L2
F' D' R2 B U R2 F
F' D' R2 B U F R2
U' F' B2 L2 B2 U B
F' D' R2 B' U R2 F
F' D' R2 B' U F R2
D F' B R U R' F
D F' B R U F R'
F' D' R2 B2 U R2 F
F' D' R2 B2 U F R2
D F' B R' U R F
R2 F' B U' F R2 B
D F' B R2 U R2 F
D F' B R2 U F R2
D2 F' B2 R U R' F
D2 F' B2 R U F R'
D' F' B2 R U R' F
D' F' B2 R U F R'
B' D' U R2 B U' B'
D2 F' B2 R' U R F
D' F' B2 R' U R F
D2 F' B2 R2 U R2 F
D2 F' B2 R2 U F R2
D' F' B2 R2 U R2 F
D' F' B2 R2 U F R2
F' D' U F U F' U'
F2 D' U L2 B' U' B
F' D' U F2 D F' R2
B2 D' U R2 B U' B'
D F' B' R U R' F
D F' B' R U F R'
F D' R2 U L2 R2 F'
D F' B' R' U R F
F D' R2 U R2 L2 F'
F D' R2 U R2 F' L2
D F' B' R2 U R2 F
D F' B' R2 U F R2
B' D' U' F' L2 U B'
B' D' U' F' U' F U2
B2 D' U' F' L2 U B'
D F' B2 R U R' F
D F' B2 R U F R'
B2 D' U' F' U' F U2
B D' U R2 B U' B'
D F' B2 R' U R F
D F' B2 R2 U R2 F
D F' B2 R2 U F R2
B D' U' F' L2 U B'
B D' U' F' U' F U2
U' F2 L2 D' L2 F U
B' D' F' R U R' F
B' D' F' R U F R'
B' D' F' R' U R F
B' D' F' R2 U R2 F
B' D' F' R2 U F R2
F2 D' F D2 R2 U R2
B2 D' F' R U R' F
B2 D' F' R U F R'
B2 D' F' R' U R F
B2 D' F' R2 U R2 F
B2 D' F' R2 U F R2
F D' F L2 F2 D' B2
D2 F2 R F U R' F
D2 F2 R F U F R'
D' F2 R F U R' F
R' F2 R F' U F' R
D' F2 R F U F R'
B D' F' R U R' F
B D' F' R U F R'
B D' F' R' U R F
B D' F' R2 U R2 F
B D' F' R2 U F R2
F D' F' L2 U' L2 U
F D' F' L2 D' B2 D
F D' F' L2 D' B2 D'
F D' F' L2 D' B2 D2
F D' F' L2 B D' B2
F D' F' L2 B' D' B2
F D' F' L2 B2 D' B2
F' D' B R U R' F
F' D' B R U F R'
F' D' B R' U R F
D F2 R F U R' F
D F2 R F U F R'
F' D' B R2 U R2 F
F' D' B R2 U F R2
F D' F' B L2 D' B2
F D' F' B' L2 D' B2
F D' F' B2 L2 D' B2
D2 F2 R2 F U R2 F
D2 F2 R2 F U F R2
D' F2 R2 F U R2 F
D' F2 R2 F U F R2
F' D' B' R U R' F
F' D' B' R U F R'
F' D' B' R' U R F
F' D' B' R2 U R2 F
F' D' B' R2 U F R2
F D' B L2 D' F' B2
F D' B L2 D' B2 F'
F D' B L2 F' D' B2
F' D' B2 R U R' F
F' D' B2 R U F R'
F' D' B2 R' U R F
D F2 R2 F U R2 F
D F2 R2 F U F R2
F' D' B2 R2 U R2 F
F' D' B2 R2 U F R2
F D' B F' L2 D' B2
U2 F2 U F U' F' U2
U' F2 U' F2 U F' U
F D' B' L2 D' F' B2
F D' B' L2 D' B2 F'
F D' B' L2 F' D' B2
B' D2 L U' L' F' U
B2 D2 L U' L' F' U
F D' B' F' L2 D' B2
F D' B2 L2 D' F' B2
F D' B2 L2 D' B2 F'
F D' B2 L2 F' D' B2
B' D2 L' U' L F' U
R F2 U R' F' L' F'
B' D2 L' U' F' L U
R F2 U F' L' F' R'
B D2 L U' L' F' U
B2 D2 L' U' L F' U
B2 D2 L' U' F' L U
F D' B2 F' L2 D' B2
U' F2 D F U D B2
U' F2 D F U2 R2 U'
U' F2 D F D U B2
U' F2 D F D2 L2 U
D2 F2 D R2 F U R2
D' F2 D R2 F U R2
D2 F2 D F R2 U R2
D' F2 D F R2 U R2
B' D2 L2 U' L2 F' U
B' D2 L2 U' F' L2 U
U' F2 D' L2 U2 B' U'
R2 F2 U2 B U' R2 F2
R2 F2 U2 B U' F2 R2
B D2 L' U' L F' U
B D2 L' U' F' L U
B2 D2 L2 U' L2 F' U
B2 D2 L2 U' F' L2 U
U' F2 D' F L2 U D
U' F2 D' F L2 U D'
U' F2 D' F L2 U D2
U' F2 D' F L2 D U
U' F2 D' F L2 D' U
U' F2 D' F L2 D2 U
U' F2 D' F U D' B2
U' F2 D' F D' U B2
U' F2 D' F' L2 F2 U
U' F2 D' F2 L2 F' U
R2 F2 D R2 F' B2 U
R2 F2 D R2 B2 F' U
D F2 D R2 F U R2
F' D2 R U R F R2
F' D2 R U R' D F
F' D2 R U R' D' F
F' D2 R U R' D2 F
F' D2 R U R' F D
F' D2 R U R' F D'
F' D2 R U R' F D2
F' D2 R U D R' F
F' D2 R U D F R'
F' D2 R U D' R' F
F' D2 R U D' F R'
F' D2 R U D2 R' F
F' D2 R U D2 F R'
F' D2 R U F R' D
F' D2 R U F R' D'
F' D2 R U F R' D2
F' D2 R U F D R'
F' D2 R U F D' R'
F' D2 R U F D2 R'
F' D2 R U F' R' F2
D F2 D F R2 U R2
F' D2 R D U R' F
F' D2 R D U F R'
B D2 L2 U' L2 F' U
B D2 L2 U' F' L2 U
F' D2 R D' U R' F
F' D2 R D' U F R'
F' D2 R D2 U R' F
F' D2 R D2 U F R'
U' F2 D2 F L U B2
U' F2 D2 F L' U B2
U' F2 D2 F L2 U B2
U' F2 D2 F U B2 D
U' F2 D2 F U B2 D'
U' F2 D2 F U B2 D2
U' F2 D2 F D L2 U
F' D2 R' U R D F
F' D2 R' U R D' F
F' D2 R' U R D2 F
F' D2 R' U R F D
F' D2 R' U R F D'
F' D2 R' U R F D2
F' D2 R' U R' F R2
F' D2 R' U R2 F R'
F' D2 R' U D R F
F' D2 R' U D' R F
F' D2 R' U D2 R F
F' D2 R' D U R F
F' D2 R' D' U R F
F' D2 R' D2 U R F
F' D2 R' B U R F
F' D2 R' B' U R F
F' D2 R' B2 U R F
F' D2 R2 U R' F R'
F' D2 R2 U R2 D F
F' D2 R2 U R2 D' F
F' D2 R2 U R2 D2 F
F' D2 R2 U R2 F D
F' D2 R2 U R2 F D'
F' D2 R2 U R2 F D2
F' D2 R2 U F R2 D
F' D2 R2 U F R2 D'
F' D2 R2 U F R2 D2
F' D2 R2 U F' R2 F2
F' D2 R2 D B2 U F
F' D2 R2 B U R2 F
F' D2 R2 B U F R2
F' D2 R2 B' U R2 F
F' D2 R2 B' U F R2
F' D2 R2 B2 U R2 F
F' D2 R2 B2 U F R2
B' D2 U R2 B U' B'
F' D2 U F U F' U'
F' D2 U F2 D F' R2
B2 D2 U R2 B U' B'
D2 B L U' L' F' U
B' D2 U' F' L2 U B'
B' D2 U' F' U' F U2
D' B L U' L' F' U
B2 D2 U' F' L2 U B'
B2 D2 U' F' U' F U2
B D2 U R2 B U' B'
L2 B L U' L F' U
L2 B L U' F' L U
D2 B L' U' L F' U
D2 B L' U' F' L U
D' B L' U' L F' U
D' B L' U' F' L U
F D2 U B2 U' F' B2
F D2 U B2 U' B2 F'
D B L U' L' F' U
B D2 U' F' L2 U B'
B D2 U' F' U' F U2
L2 B L' U' L' F' U
D2 B L2 U' L2 F' U
D2 B L2 U' F' L2 U
D' B L2 U' L2 F' U
L B L U' L2 F' U
D' B L2 U' F' L2 U
L B L U' F' L2 U
B' D2 F' R U R' F
B' D2 F' R U F R'
B' D2 F' R' U R F
D B L' U' L F' U
B' D2 F' R2 U R2 F
B' D2 F' R2 U F R2
D B L' U' F' L U
F2 D2 F D' R2 U R2
B2 D2 F' R U R' F
B2 D2 F' R U F R'
B2 D2 F' R' U R F
B2 D2 F' R2 U R2 F
B2 D2 F' R2 U F R2
D B L2 U' L2 F' U
D B L2 U' F' L2 U
B D2 F' R U R' F
B D2 F' R U F R'
B D2 F' R' U R F
B D2 F' R2 U R2 F
B D2 F' R2 U F R2
L B L2 U' L F' U
