U2 L2 D' R2 F
U2 L2 D' F R2
U2 L2 F D' R2
B' U B' U L2
L2 D' F R2 B
L2 F D' R2 B
R' B' U B' U L2 D2
R' B' U B' D F2 U
R' B' U B' F U L2
R' B' U B' F' U L2
R' B' U B' F2 U L2
R B' R' U B' U L2
L' B' U B' U L' F
D2 B' U' D B2 U' R2
D' B' U' D' F2 B' U'
D' B' U' D' B' F2 U'
D2 B' U' F2 U R2 U2
D2 B' U' F2 U' D2 L2
D2 B' U' F2 D B2 U'
D2 B' U' F2 D2 U' L2
D' B' U' F B' U' R2
U2 B' U B' U L2 B2
U2 B' U B' U B2 L2
D' B' U' F' B' U' R2
R2 B' U D F2 B' U
R2 B' U D B' F2 U
D' B' U' F2 B' U' R2
R B' R2 U B' U L2
D' B' U' B' U' R2 D
D' B' U' B' U' R2 D'
D' B' U' B' U' R2 D2
D' B' U' B' D' F2 U'
D' B' U' B' F U' R2
D' B' U' B' F' U' R2
D' B' U' B' F2 U' R2
R2 B' U F B' U L2
R' B' U2 L2 U F U'
D B' U D' B2 U L2
R2 B' U F' B' U L2
R2 B' U F2 B' U L2
R2 B' U B' U L2 D
R2 B' U B' U L2 D'
R2 B' U B' U L2 D2
R2 B' U B' D F2 U
R2 B' U B' F U L2
D B' U F2 U D2 R2
D B' U F2 U' L2 U2
R2 B' U B' F' U L2
R2 B' U B' F2 U L2
D B' U F2 D' B2 U
D B' U F2 D2 U R2
D2 B' U2 D R2 D L2
D' B' U2 R2 U B' U'
D2 B' U2 D2 L2 D' R2
L B' U B' R' F' U
U B' U B' U L2 B
U B' U B' U B L2
D B' U' D2 B2 U' R2
R B' U D F2 B' U
R B' U D B' F2 U
R' B' D U F2 B' U
R' B' D U B' F2 U
R B' U F B' U L2
D2 B' D U' B2 U' R2
R B' U F' B' U L2
D2 B' D U2 R2 D L2
R B' U F2 B' U L2
R2 B' U2 L2 U F U'
R B' U B' U L2 D
R B' U B' U L2 D'
R B' U B' U L2 D2
R B' U B' D F2 U
R B' U B' F U L2
R B' U B' F' U L2
R B' U B' F2 U L2
U2 B' U2 B L2 D' R2
D B' U2 D' L2 D' R2
D2 B' D' L2 U F2 U
D2 B' D' L2 U2 D' L2
D2 B' D' L2 D R2 U2
D2 B' D' L2 D' U2 L2
D B' U2 D2 R2 D L2
D' B' D' U' F2 B' U'
D' B' D' U' B' F2 U'
B2 F' R2 U L2 F' B'
B2 F' R2 U L2 B' F'
R2 B' D U F2 B' U
R2 B' D U B' F2 U
R B' U2 L2 U F U'
D B' D R2 U' F2 U'
D B' D R2 U2 D R2
D B' D R2 D U2 R2
D B' D R2 D' L2 U2
D' B' D2 L2 U F U
R' B' D2 R2 U B' U
D2 B' D2 U B2 U L2
D2 B' D2 U2 L2 D' R2
B2 F' U L2 B' D2 F2
B' F' U B' U L2 B'
D B' D' U B2 U L2
D B' D' U2 L2 D' R2
F' B' U B' U L2 B'
R B' D U F2 B' U
R B' D U B' F2 U
B2 F' U B2 L2 F B'
B2 F' U B2 L2 B' F
R2 B' D2 R2 U B' U
D B' D2 U' B2 U' R2
D B' D2 U2 R2 D L2
B2 F' U' F B U2 L2
L2 B' F R2 B D' R2
B2 F' U' B U2 L2 B'
B2 F' U' B F U2 L2
R B' D2 R2 U B' U
D B2 L2 D R2 U2 F'
D B2 L2 D B R2 U2
D B2 L2 D' B U2 L2
D B2 L2 B U F2 U
D B2 L2 B U2 D' L2
D B2 L2 B D R2 U2
D B2 L2 B D' U2 L2
D2 B2 R2 U' F2 U' F
D2 B2 R2 U2 D F' R2
D2 B2 R2 D U2 F' R2
D2 B2 R2 D' L2 U2 F'
U2 B2 R2 U L2 F' B2
U2 B2 R2 U L2 B2 F'
U2 B2 R2 U F' L2 B2
U2 B2 R2 U F' B2 L2
U2 B2 R2 U B2 L2 F'
U2 B2 R2 U B2 F' L2
U' B2 U' L2 D2 R2 F'
U' B2 U' B U2 B' L2
D' B2 U' R2 D F' B2
D' B2 U' R2 D B2 F'
D' B2 U' R2 F' D B2
U B2 R2 U L F' L
U B2 R2 U L2 D F'
U B2 R2 U L2 D' F'
U B2 R2 U L2 D2 F'
U B2 R2 U L2 F' D
U B2 R2 U L2 F' D'
U B2 R2 U L2 F' D2
U2 B2 U F B2 L2 F
U B2 R2 U F L2 F2
U B2 R2 U F' L2 D
U B2 R2 U F' L2 D'
U B2 R2 U F' L2 D2
U2 B2 U F' B2 L2 F
U2 B2 U F2 B2 L2 F
U B2 R2 D F2 U F
U2 B2 U B2 L2 D F
U2 B2 U B2 L2 D' F
U2 B2 U B2 L2 D2 F
U2 B2 U B2 L2 F D
U2 B2 U B2 L2 F D'
U2 B2 U B2 L2 F D2
U2 B2 U B2 F L2 F
U2 B2 U B2 F' L2 F
U2 B2 U B2 F2 L2 F
U B2 R2 F U L2 F2
F' B2 R2 U L2 F' B'
U B2 R2 F U F2 L2
F' B2 R2 U L2 B' F'
U B2 R2 F2 U F L2
U B2 U L2 R2 F' R2
U B2 U L2 U2 B U2
U B2 U R2 L2 F' R2
U2 B2 U' B U2 L2 B
U2 B2 U' B U2 B L2
U B2 U R2 F' L2 R2
U B2 U R2 F' R2 L2
F' B2 U L2 B' D2 F2
U B2 U B2 L2 F B2
U B2 U B2 L2 B2 F
U B2 U' R2 U2 L2 F'
U B2 U' R2 U2 F' L2
F' B2 U B2 L2 F B'
F' B2 U B2 L2 B' F
F B2 R2 U L2 F' B
F B2 R2 U L2 B F'
F B2 R2 U F' L2 B
F B2 R2 U F' B L2
F B2 R2 U B L2 F'
F B2 R2 U B F' L2
U B2 U' D2 R2 U2 F'
U B2 U' D2 B R2 U2
U B2 U' B R U2 L2
U B2 U' B R' U2 L2
U B2 U' B R2 U2 L2
U B2 U' B U2 L2 D
U B2 U' B U2 L2 D'
U B2 U' B U2 L2 D2
U B2 U' B D2 R2 U2
U B2 U' B2 U2 L2 F
F' B2 U' F B U2 L2
F' B2 U' B U2 L2 B'
F' B2 U' B F U2 L2
B2 F2 U' F2 B U2 L2
B2 F2 U' B F2 U2 L2
F2 B2 U' F2 B U2 L2
F2 B2 U' B F2 U2 L2
U B2 U2 B2 U' L2 F
U B2 D R2 F2 U F
U B2 D F2 R2 U F'
U B2 D F2 U' B U2
F B2 U' F' B U2 L2
F B2 U' B F' U2 L2
D' B2 F U' R2 F' B
D' B2 F U' R2 B F'
U2 B2 F U B2 L2 F
U B2 D2 U' R2 U2 F'
U B2 D2 U' B R2 U2
U2 B2 F' U B2 L2 F
U B2 F R2 U L2 F'
U B2 F R2 U F' L2
U B2 F U' B U2 L2
U2 B2 F2 U B2 L2 F
U B2 F' R2 U L2 F'
U B2 F' R2 U F' L2
U B2 F' U' B U2 L2
U B2 F2 R2 U L2 F'
U B2 F2 R2 U F' L2
U B2 F2 U' B U2 L2
