R' L U L2 U
R' L U2 D' B2
R' L D F2 U2
R' L D' U2 B2
L R' U L2 U
L R' U2 D' B2
L R' D F2 U2
L R' D' U2 B2
L U2 D' B2 L
L D R' F2 U2
L D F2 R' U2
L D' R' U2 B2
L D' U2 B2 L
B2 D' L D' R' F2 B2
B2 D' L D' R' B2 F2
B2 D' L D' F2 R' B2
F' D' L F2 R' U2 B'
F' D' L' R' F L2 U2
R' F' U2 B2 D R' B
D2 F' D L R' U2 B
D' F' D L R' U2 B
B2 D' L' R2 U L2 R
B2 D' L' R2 U R L2
D2 F' D R' L U2 B
D' F' D R' L U2 B
F' D' L' F L2 R' U2
F' D' L' F R' L2 U2
R' F' D U2 B2 R' B
R' F' D' L U2 D B'
R' F' D' L U2 D' B'
R' F' D' L U2 D2 B'
R' F' D' L U2 B' D
R' F' D' L U2 B' D'
R' F' D' L U2 B' D2
R' F' D' L D U2 B'
R' F' D' L D' U2 B'
R' F' D' L D2 U2 B'
R' F' D' L F U2 B'
R' F' D' L F' U2 B'
R' F' D' L F2 U2 B'
D2 F' D' L R' U2 B'
D' F' D' L R' U2 B'
R' F' D' L' F L2 U2
D2 F' D' R' L U2 B'
D' F' D' R' L U2 B'
D F' D L R' U2 B
L F' U2 D' L B2 L
L F' U2 D' L' B2 L
L F' U2 D' L2 B2 L
L F' U2 D' B2 L D
L F' U2 D' B2 L D'
L F' U2 D' B2 L D2
L F' U2 D' B2 D L
L F' U2 D' B2 D' L
L F' U2 D' B2 D2 L
R' F' D' F L U2 B'
R' F' D' F' L U2 B'
R' F' D' F2 L U2 B'
D F' D R' L U2 B
L F' U2 B2 D' L B2
L F' D R F2 R2 U2
L F' D R' U2 D2 B2
L F' D R' D2 U2 B2
L F' D R' F2 U2 D
L F' D R' F2 U2 D'
L F' D R' F2 U2 D2
L F' D R' F2 D U2
L F' D R' F2 D' U2
L F' D R' F2 D2 U2
L F' D R2 F2 U2 L'
D F' D' L R' U2 B'
L F' D F R' F U2
D F' D' R' L U2 B'
L F' D F2 R' U2 D
L F' D F2 R' U2 D'
L F' D F2 R' U2 D2
L F' D F2 R' D U2
L F' D F2 R' D' U2
L F' D F2 R' D2 U2
L F' D F2 D R' U2
F' D' R' L U2 D B'
F' D' R' L U2 D' B'
F' D' R' L U2 D2 B'
L F' D F2 D' R' U2
F' D' R' L U2 B' D
F' D' R' L U2 B' D'
F' D' R' L U2 B' D2
F' D' R' L D U2 B'
L F' D F2 D2 R' U2
F' D' R' L D' U2 B'
F' D' R' L D2 U2 B'
F' D' R' L F U2 B'
F' D' R' L F' U2 B'
F' D' R' L F2 U2 B'
F' D' R' L' F L2 U2
F2 D' R' L U' R2 U'
F2 D' R' L U2 D B2
F2 D' R' L D U2 B2
F2 D' R' L D' F2 U2
L F' D' R' U2 B2 D
L F' D' R' U2 B2 D'
L F' D' R' U2 B2 D2
L F' D' R' D2 F2 U2
L F' D' R' F U2 B2
L F' D' R' F' U2 B2
L F' D' R' F2 U2 B2
F' D' R' F L U2 B'
F' D' R' F' L U2 B'
F2 D' R' U2 D B2 R'
F' D' R' F2 L U2 B'
F2 D' R' D L U2 B2
F2 D' R' D U2 B2 R'
L F' D' U2 L B2 L
L F' D' U2 L' B2 L
L F' D' U2 L2 B2 L
F2 D' R' D' L F2 U2
L F' D' U2 B2 L D
L F' D' U2 B2 L D'
L F' D' U2 B2 L D2
L F' D' U2 B2 D L
L F' D' U2 B2 D' L
L F' D' U2 B2 D2 L
F2 D' R' D' F2 L U2
L F' D' F R' U2 B2
L F' D' F U2 B2 L
L F' D' F' R' U2 B2
L F' D' F' U2 B2 L
L F' D' F2 R' U2 B2
L F' D' F2 U2 B2 L
B2 D' R2 L' U L2 R
B2 D' R2 L' U R L2
L F' D2 R' U' R' U'
D2 F2 L R' U' R2 U'
D2 F2 L R' U2 D B2
D2 F2 L R' D U2 B2
D2 F2 L R' D' F2 U2
D' F2 L R' U' R2 U'
D' F2 L R' U2 D B2
D' F2 L R' D U2 B2
D' F2 L R' D' F2 U2
R' F2 L U' R U' D
R' F2 L U' R U' D'
R' F2 L U' R U' D2
R' F2 L U' R D U'
R' F2 L U' R D' U'
R' F2 L U' R D2 U'
R' F2 L U' D R U'
R' F2 L U' D' R U'
R' F2 L U' D2 R U'
R' F2 L D U' R U'
R' F2 L D' U' R U'
R' F2 L D2 U' R U'
R' F2 L F2 U L' U
R2 F2 L U' R U' L2
D F2 L R' U' R2 U'
D F2 L R' U2 D B2
D F2 L R' D U2 B2
D F2 L R' D' F2 U2
F' D' U2 B2 L R' B'
F' D' U2 B2 R' L B'
F' D' F L R' U2 B'
F' D' F R' L U2 B'
L' F2 L2 R' U L2 U
L' F2 L2 R' U2 D' B2
L' F2 L2 R' D F2 U2
L' F2 L2 R' D' U2 B2
R F2 L R2 U' R' U'
L' F2 L2 U2 D' B2 L
L' F2 L2 D R' F2 U2
L' F2 L2 D F2 R' U2
L' F2 L2 D' R' U2 B2
L' F2 L2 D' U2 B2 L
F' D' F' L R' U2 B'
U' F2 R U L R2 U2
U' F2 R U R2 L U2
F' D' F' R' L U2 B'
U' F2 R D B2 U' R'
F' D' F2 L R' U2 B'
D2 F2 R' L U' R2 U'
D2 F2 R' L U2 D B2
D2 F2 R' L D U2 B2
F' D' F2 R' L U2 B'
D2 F2 R' L D' F2 U2
D' F2 R' L U' R2 U'
D' F2 R' L U2 D B2
D' F2 R' L D U2 B2
D' F2 R' L D' F2 U2
L' F2 R' L2 U L2 U
L' F2 R' L2 U2 D' B2
L' F2 R' L2 D F2 U2
L' F2 R' L2 D' U2 B2
D2 F2 R' U2 D B2 R'
D' F2 R' U2 D B2 R'
D2 F2 R' D L U2 B2
D' F2 R' D L U2 B2
D2 F2 R' D U2 B2 R'
D' F2 R' D U2 B2 R'
D2 F2 R' D' L F2 U2
D' F2 R' D' L F2 U2
D2 F2 R' D' F2 L U2
D' F2 R' D' F2 L U2
L2 F2 R' U L U R2
D F2 R' L U' R2 U'
D F2 R' L U2 D B2
D F2 R' L D U2 B2
D F2 R' L D' F2 U2
D F2 R' U2 D B2 R'
D F2 R' D L U2 B2
D F2 R' D U2 B2 R'
D F2 R' D' L F2 U2
D F2 R' D' F2 L U2
L F2 R' U L2 U D
L F2 R' U L2 U D'
L F2 R' U L2 U D2
L F2 R' U L2 D U
L F2 R' U L2 D' U
L F2 R' U L2 D2 U
L F2 R' U' D2 R2 U'
L F2 R' U2 D' B2 D
L F2 R' U2 D' B2 D'
L F2 R' U2 D' B2 D2
L F2 R' U2 B D' B2
L F2 R' U2 B' D' B2
L F2 R' U2 B2 D' B2
L F2 R' D F2 U2 D
L F2 R' D F2 U2 D'
L F2 R' D F2 U2 D2
L F2 R' D F2 D U2
L F2 R' D F2 D' U2
L F2 R' D F2 D2 U2
L F2 R' D' U2 B2 D
L F2 R' D' U2 B2 D'
L F2 R' D' U2 B2 D2
L F2 R' D' F U2 B2
L F2 R' D' F' U2 B2
L F2 R' D' F2 U2 B2
L F2 R' D2 U' R2 U'
L F2 R' F U L2 U
L F2 R' F U2 D' B2
L F2 R' F D F2 U2
L F2 R' F D' U2 B2
L F2 R' F' U L2 U
L F2 R' F' U2 D' B2
L F2 R' F' D F2 U2
L F2 R' F' D' U2 B2
L F2 R' F2 U L2 U
L F2 R' F2 U2 D' B2
L F2 R' F2 D F2 U2
L F2 R' F2 D' U2 B2
R' F2 U' R U L U2
R F2 R2 L U' R' U'
L F2 R2 D R F2 U2
L F2 R2 D F2 U2 L'
L F2 R2 D' R U2 B2
B2 D2 L R' F2 D' B2
F2 D2 L R' U' R2 U'
F2 D2 L R' U2 D B2
F2 D2 L R' D U2 B2
F2 D2 L R' D' F2 U2
L F2 U L2 U' R' U2
F' D2 L D' R' U2 B
R' F2 U2 R' D B2 R'
B2 D2 L F2 R' D' B2
B2 D2 L F2 D' R' B2
R' F2 U2 B2 R' D B2
R' F2 D L U' R U'
B2 D2 L' U L2 R' F2
B2 D2 L' U L2 F2 R'
B2 D2 L' U R' L2 F2
B2 D2 L' U R' F2 L2
B2 D2 L' U F2 L2 R'
B2 D2 L' U F2 R' L2
R' F2 D' L U' R U'
L F2 U2 D' L B2 L
L F2 U2 D' L' B2 L
L F2 U2 D' L2 B2 L
L F2 U2 D' B2 L D
L F2 U2 D' B2 L D'
L F2 U2 D' B2 L D2
L F2 U2 D' B2 D L
L F2 U2 D' B2 D' L
L F2 U2 D' B2 D2 L
R' F2 D2 L U' R U'
L F2 U2 B2 D' L B2
L F2 D R F2 R2 U2
L F2 D R' U2 D2 B2
L F2 D R' D2 U2 B2
L F2 D R' F2 U2 D
L F2 D R' F2 U2 D'
L F2 D R' F2 U2 D2
L F2 D R' F2 D U2
L F2 D R' F2 D' U2
L F2 D R' F2 D2 U2
L F2 D R2 F2 U2 L'
L F2 D F R' F U2
L F2 D F2 R' U2 D
L F2 D F2 R' U2 D'
L F2 D F2 R' U2 D2
L F2 D F2 R' D U2
L F2 D F2 R' D' U2
L F2 D F2 R' D2 U2
L F2 D F2 D R' U2
L F2 D F2 D' R' U2
L F2 D F2 D2 R' U2
B2 D2 R' L F2 D' B2
F2 D2 R' L U' R2 U'
F2 D2 R' L U2 D B2
F2 D2 R' L D U2 B2
F2 D2 R' L D' F2 U2
F' D2 R' D L U2 B'
L F2 D' R' U2 B2 D
L F2 D' R' U2 B2 D'
L F2 D' R' U2 B2 D2
L F2 D' R' D2 F2 U2
L F2 D' R' F U2 B2
L F2 D' R' F' U2 B2
L F2 D' R' F2 U2 B2
F2 D2 R' U2 D B2 R'
F2 D2 R' D L U2 B2
F2 D2 R' D U2 B2 R'
F2 D2 R' D' L F2 U2
L F2 D' U2 L B2 L
F2 D2 R' D' F2 L U2
L F2 D' U2 L' B2 L
L F2 D' U2 L2 B2 L
L F2 D' U2 B2 L D
L F2 D' U2 B2 L D'
L F2 D' U2 B2 L D2
L F2 D' U2 B2 D L
L F2 D' U2 B2 D' L
L F2 D' U2 B2 D2 L
L F2 D' F R' U2 B2
L F2 D' F U2 B2 L
L F2 D' F' R' U2 B2
L F2 D' F' U2 B2 L
L F2 D' F2 R' U2 B2
L F2 D' F2 U2 B2 L
L F2 D2 R' U' R' U'
U' F2 B2 R U' L R2
U' F2 B2 R U' R2 L
U B L' B U L R'
U B L' B U R' L
B2 D2 F2 L R' D B2
B2 D2 F2 R' L D B2
B2 D2 F2 R' D L B2
L B D F2 B' R' U2
L B D B' R' F2 U2
L B D B' F2 R' U2
L B D' B' R' U2 B'
U B' L' B' U L R'
U B' L' B' U R' L
L' B' U' L2 B R' U2
L' B' U' B L2 R' U2
L' B' U' B R' L2 U2
U2 B' U' L' B' U L
U2 B2 L R' U' L2 U
U2 B2 L R' D' B2 D
U2 B2 L R' D' B2 D'
U2 B2 L R' D' B2 D2
U2 B2 L R' B D' B2
U2 B2 L R' B' D' B2
U2 B2 L R' B2 D' B2
U2 B2 L R2 D' R B2
U2 B2 L R2 D' B2 R
U2 B2 L U' L2 U R'
U2 B2 L D R' D2 B2
U2 B2 L D' R B2 R2
U2 B2 L D' R' B2 D
U2 B2 L D' R' B2 D'
U2 B2 L D' R' B2 D2
U2 B2 L D' R2 B2 R
U2 B2 L B2 D' B2 R'
U B2 L' U L2 R' D
U B2 L' U L2 R' D'
U B2 L' U L2 R' D2
U B2 L' U L2 D R'
U B2 L' U L2 D' R'
U B2 L' U L2 D2 R'
U B2 L' U R' L2 D
U B2 L' U R' L2 D'
U B2 L' U R' L2 D2
U B2 L' D F2 U R'
U B2 L' F U L2 R'
U B2 L' F U R' L2
U B2 L' F' U L2 R'
U B2 L' F' U R' L2
U B2 L' F2 U L2 R'
U B2 L' F2 U R' L2
U2 B2 R' L U' L2 U
U2 B2 R' L D' B2 D
U2 B2 R' L D' B2 D'
U2 B2 R' L D' B2 D2
U2 B2 R' L B D' B2
U2 B2 R' L B' D' B2
U2 B2 R' L B2 D' B2
U2 B2 R' U' L' U L2
U2 B2 R' D L D' B2
U2 B2 R' D' L D' B2
U2 B2 R' D2 L D' B2
U2 B2 R2 L D' R B2
U2 B2 R2 L D' B2 R
U' B2 U' L R' D' B2
U' B2 U' L D' R' B2
L' B2 U D2 L R2 F2
L' B2 U D2 L F2 R2
L' B2 U D2 R2 L F2
L' B2 U D2 R2 F2 L
L' B2 U D2 F2 L R2
L' B2 U D2 F2 R2 L
U' B2 U' R' L D' B2
L' B2 U' L2 B2 U2 L'
U' B2 U2 L' U L2 R'
U' B2 U2 L' U R' L2
U2 B2 U' L' U L2 R'
U2 B2 U' L' U R' L2
L' B2 U' B2 L2 R' U2
L' B2 U' B2 R' L2 U2
U B2 U L R' D' B2
U B2 U L D' R' B2
U B2 U R' L D' B2
U2 B2 D L R' D' B2
U2 B2 D L D' R' B2
U2 B2 D R' L D' B2
U2 B2 D' L R' D' B2
U2 B2 D' L D' R' B2
U2 B2 D' R' L D' B2
U B2 D L' U L2 R'
U B2 D L' U R' L2
L' B2 D2 U L R2 F2
L' B2 D2 U L F2 R2
L' B2 D2 U R2 L F2
L' B2 D2 U R2 F2 L
L' B2 D2 U F2 L R2
L' B2 D2 U F2 R2 L
U2 B2 D2 L R' D' B2
U2 B2 D2 L D' R' B2
U2 B2 D2 R' L D' B2
U B2 D' L' U L2 R'
U B2 D' L' U R' L2
U B2 D2 L' U L2 R'
U B2 D2 L' U R' L2
U' B2 F2 R U' L R2
U' B2 F2 R U' R2 L
